originalRelease,originalNamespace,originalPropertyName,changeCode,issue,release,namespace,propertyName,definition,dataType,substitutionGroupHead,elementOrAttribute,concreteOrAbstract,isAbstract
3.0,cbrn,AudioFileSampleRate,modified,,3.1,cbrn,AudioFileSampleRate,A number of samples per second taken from a continuous signal to make a discrete signal.,niem-xs:nonNegativeInteger,,TRUE,FALSE,
3.0,cbrn,CoefficientValueList,modified,,3.1,cbrn,CoefficientValueList,A list of values of the coefficients of a second-order polynomial describing the energy calibration in which the energies are expressed in keV.,nc:DoubleListType,cbrn:CoefficientOrBoundaryValuesChoice,TRUE,FALSE,
3.0,cbrn,DataFileCategoryID,modified,,3.1,cbrn,DataFileCategoryID,An identifier of a kind of information in a data file,niem-xs:string,,TRUE,FALSE,
3.0,cbrn,DataFileCreatedByApplicationText,modified,,3.1,cbrn,DataFileCreatedByApplicationText,A name of a software/firmware application that was used to create a data file.,niem-xs:string,,TRUE,FALSE,
3.0,cbrn,DerivedData,modified,,3.1,cbrn,DerivedData,A set of all data derived from raw measured data for use in analysis.,cbrn:DerivedDataType,cbrn:RadInstrumentDataChoice,TRUE,FALSE,
3.0,cbrn,DeviceIdentifierAugmentationPoint,modified,,3.1,cbrn,DeviceIdentificationAugmentationPoint,An augmentation point for cbrn:DeviceIdentifierType.,,,TRUE,TRUE,
3.0,cbrn,EncounterDeviceIdentifierData,modified,,3.1,cbrn,EncounterDeviceIdentificationData,An encounter device's identification information.,cbrn:DeviceIdentificationType,,TRUE,FALSE,
3.0,cbrn,EncounterDeviceOperatorComments,modified,,3.1,cbrn,EncounterDeviceOperatorComments,A general comment or comments by the operator of the encounter device.,cbrn:EncounterDeviceOperatorCommentsType,,TRUE,FALSE,
3.0,cbrn,LowerLimitValue,modified,,3.1,cbrn,LowerLimitValue,A lowest value of X for which an equation is valid.,cbrn:DoubleType,,TRUE,FALSE,
3.0,cbrn,MultimediaDeviceIdentifierID,modified,,3.1,cbrn,MultimediaDeviceID,"A unique Identifier (e.g., serial number) of the device that recorded the multimedia data.",niem-xs:string,,TRUE,FALSE,
3.0,cbrn,RadEncounterDeviceToShieldingDistance,modified,,3.1,cbrn,RadEncounterDeviceToShieldingDistanceMeasure,A distance from the center of mass of a encounter device to the closest outside portion of the outermost layer of shielding that is found between the encounter device and the radiation source.,nc:MeasureType,,TRUE,FALSE,
3.0,cbrn,ScanIdentifierDataAugmentationPoint,modified,,3.1,cbrn,ScanIdentificationAugmentationPoint,An augmentation point for cbrn:ScanIdentifierDataType.,,,TRUE,TRUE,
3.0,cbrn,UpperLimitValue,modified,,3.1,cbrn,UpperLimitValue,A highest value of X for which an equation is valid.,cbrn:DoubleType,,TRUE,FALSE,
3.0,cyfs,BiologicalParentDeterminationDescriptionText,modified,,3.1,cyfs,BiologicalParentDeterminationDescriptionText,"An additional description of the details about the determination of a biological relationship between a putative parent and a child (for example, findings regarding the location and date of conception, or the results of DNA tests).",nc:TextType,,TRUE,FALSE,
3.0,cyfs,childSupportEnforcementCaseIdentifierStatusText,modified,,3.1,cyfs,childSupportEnforcementCaseIDStatusText,"An attribute that shows the status of a IV-D case identifier assigned by a local agency to a child-support-enforcement case (""IV-D"" refers to Title IV-D of the Social Security Act).",xs:string,,FALSE,FALSE,
3.0,cyfs,IndigencyStatus,modified,,3.1,cyfs,IndigencyStatus,An indigency status of the child.,nc:StatusType,,TRUE,FALSE,
3.0,cyfs,MedicationDose,modified,,3.1,cyfs,MedicationDoseMeasure,A specified dosage of medication.,nc:MeasureType,,TRUE,FALSE,
3.0,cyfs,PriorDetentionCompletionStatus,modified,,3.1,cyfs,PriorDetentionCompletionStatus,A status of the completion of a prior detention of a person.,nc:StatusType,,TRUE,FALSE,
3.0,em,Ceiling,modified,,3.1,em,CeilingMeasure,A maximum altitude of the affected area of the alert message (conditional).,nc:MeasureType,,TRUE,FALSE,
3.0,em,HospitalBedCapacityStatus,modified,,3.1,em,HospitalBedCapacityStatus,A status of capacity related to hospital beds.,em:HospitalBedCapacityStatusType,,TRUE,FALSE,
3.0,em,HospitalFacilityStatus,modified,,3.1,em,HospitalFacilityStatus,A detailed status of the facility.,em:HospitalFacilityStatusType,,TRUE,FALSE,
3.0,em,HospitalResourcesStatus,modified,,3.1,em,HospitalResourcesStatus,A detailed status of the operations of the facility.,em:HospitalResourcesStatusType,,TRUE,FALSE,
3.0,em,HospitalStatus,modified,,3.1,em,HospitalStatus,A reporting status of any number of hospitals.,em:HospitalStatusType,,TRUE,FALSE,
3.0,em,LocationAugmentation,modified,,3.1,em,LocationAugmentation,Additional information about the location of the alarm.,em:LocationAugmentationType,nc:LocationAugmentationPoint,TRUE,FALSE,
3.0,em,NotificationStatus,modified,,3.1,em,NotificationStatus,"A status of the appropriate handling of the notification message; identifies if the notification is an actual event, test, exercise or internal system function.",em:NotificationStatusType,,TRUE,FALSE,
3.0,em,ServiceCoverageStatus,modified,,3.1,em,ServiceCoverageStatus,A status of service coverage.,em:ServiceCoverageStatusType,,TRUE,FALSE,
3.0,im,AlienIncidentSequenceID,modified,,3.1,im,AlienIncidentSequenceID,An identifier indicating the sequence number associated with an encounter involving an alien.,niem-xs:string,,TRUE,FALSE,
3.0,im,AlienMiscellaneousNumber,modified,,3.1,im,AlienMiscellaneousNumberIdentification,An identification number that can be used to identify an alien.,im:AlienMiscellaneousNumberIDType,,TRUE,FALSE,
3.0,im,AlienNumber,modified,,3.1,im,AlienNumberIdentification,An identification indicating a unique number assigned to an alien's file.,nc:IdentificationType,,TRUE,FALSE,
3.0,im,ChainOfCustodySequenceID,modified,,3.1,im,ChainOfCustodySequenceID,An identifier indicating the sequence number for an item (exhibit) under custody.,niem-xs:string,,TRUE,FALSE,
3.0,im,MatchCandidateStatus,modified,,3.1,im,MatchCandidateStatus,An indication status of whether or not a candidate has met the minimum threshold for identification as a match with an encountered alien.,im:MatchCandidateStatusType,,TRUE,FALSE,
3.0,im,NonImmigrantInspectionAdmissionStatus,modified,,3.1,im,NonImmigrantInspectionAdmissionStatus,A current status of non-immigrant inspection and admission into the country.,nc:StatusType,,TRUE,FALSE,
3.0,im,TransferRequestStatus,modified,,3.1,im,TransferRequestStatus,A status of the Transfer Request submitted by the alien student.,im:TransferRequestStatusType,,TRUE,FALSE,
3.0,it,ActualDepartureDate,modified,,3.1,it,ActualDepartureDate,An actual date and time of departure of the means of transport.,nc:DateType,,TRUE,FALSE,
3.0,it,ContainerEmptyWeight,modified,,3.1,it,ContainerEmptyWeightMeasure,A weight of a container when empty.,nc:MeasureType,,TRUE,FALSE,
3.0,it,CustomsProcedureText,modified,,3.1,it,CustomsProcedure,A description of an Activity required for Customs.,it:CustomsProcedureType,,TRUE,FALSE,
3.0,it,CustomsStatus,modified,,3.1,it,CustomsStatus,A status of the item for Customs purposes at a particular point in time.,nc:StatusType,,TRUE,FALSE,
3.0,it,DeclarationDocumentReferenceNumber,modified,,3.1,it,DeclarationDocumentReferenceID,A reference identifier for a specific document.,niem-xs:string,,TRUE,FALSE,
3.0,it,DeclarationTotalItemsQuantity,modified,,3.1,it,DeclarationTotalItemsQuantity,A count of the total number of goods items within a declaration,nc:QuantityType,,TRUE,FALSE,
3.0,it,DutyTaxFeeAssessmentAmountOwed,modified,,3.1,it,DutyTaxFeeAssessmentAmountOwedAmount,An amount on which a duty or tax or fee is owed or obligated,nc:AmountType,,TRUE,FALSE,
3.0,it,DutyTaxFeeAssessmentBasisQuantity,modified,,3.1,it,DutyTaxFeeAssessmentBasisQuantity,A basis count on which a duty or tax or fee will be assessed.,nc:QuantityType,,TRUE,FALSE,
3.0,it,DutyTaxFeeRate,modified,,3.1,it,DutyTaxFeeAmount,A rate of duty or tax or fee applicable to commodities or of tax applicable to services.,nc:AmountType,,TRUE,FALSE,
3.0,it,DutyTaxFeeReductionQuantity,modified,,3.1,it,DutyTaxFeeReductionQuantity,A reduction count on which the reduced amount of duty/tax/fee (includes all types of charges and duties) due and amount of reduction (if applicable).,nc:QuantityType,,TRUE,FALSE,
3.0,it,FreightCost,modified,,3.1,it,FreightCostAmount,"An amount of costs incurred by the shipper in moving goods, by whatever means, from one place to another under the terms of the contract of carriage. In addition to transport costs, this may include such elements as packing, documentation, loading, unloading, and insu",nc:AmountType,,TRUE,FALSE,
3.0,it,GoodsCustomsValue,modified,,3.1,it,GoodsCustomsAmount,A monetary worth of goods for Customs Tariff purposes.,nc:AmountType,,TRUE,FALSE,
3.0,it,GoodsItemMaterialText,modified,,3.1,it,GoodsItem,"A description of a specific Item sent for sale, storage, or shipment.",it:GoodsItemType,,TRUE,FALSE,
3.0,it,GoodsItemPackagingText,modified,,3.1,it,GoodsItemPackaging,A description of packaging information on an individual Goods Item.,it:PackageType,,TRUE,FALSE,
3.0,it,GoodsItemStatisticalValue,modified,,3.1,it,GoodsItemStatisticalValueAmount,A value declared for statistical purposes of those goods in a consignment which have the same statistical heading.,nc:AmountType,,TRUE,FALSE,
3.0,it,GoodsLocationText,modified,,3.1,it,GoodsLocation,A description of a place where goods are located in relation to a geographic or other referent.,it:GoodsLocationType,,TRUE,FALSE,
3.0,it,GoodsWeightItemLevel,modified,,3.1,it,GoodsItemLevelWeightMeasure,A weight of a line item including packaging but excluding the transport equipment.,nc:MeasureType,,TRUE,FALSE,
