originalRelease,originalNamespace,originalPropertyName,changeCode,issue,release,namespace,propertyName,definition,dataType,substitutionGroupHead,elementOrAttribute,concreteOrAbstract,isAbstract
2.1,ansi-nist,MaximumRangeIdentification,modified,,3.0,j,,A highest value identification number in a consecutive number range.,,,,,
2.1,ansi-nist,MinimumRangeIdentification,modified,,3.0,j,,A lowest value identification number in a consecutive number range.,,,,,
2.1,ansi-nist,ProtectionOrderBradyIndicator,modified,,3.0,j,,True if the subject is considered Brady disqualified; false otherwise.,niem-xs:boolean,,,,
2.1,ansi-nist,ProtectionOrderConditionText,modified,,3.0,j,,A Translation of the Protection Order Condition Indicates Response Message.,nc:TextType,,,,
2.1,ansi-nist,VehicleOwnershipNICB,modified,,3.0,j,,"A data concept for a NICB Division location in the United States, showing interest in a stolen vehicle entry.",,,,,
2.1,cap,alert,modified,,3.0,,,"A container for all component parts of the CAP alert message. The container provides basic information about the current message: its purpose, its source and its status, as well as unique identifier for the current message and links to any other, related messages.",,,,,
2.1,cbrn,AcknowledgementData,modified,,3.0,,,A set of data regarding an acknowledgement.,,,,,
2.1,cbrn,AcknowledgementDateTime,modified,,3.0,,,A Date/time when an acknowledgement was generated.,niem-xs:dateTime,,,,
2.1,cbrn,AcknowledgementID,modified,,3.0,,,A unique identifier of an acknowledgement.,niem-xs:string,,,,
2.1,cbrn,AcknowledgingActivityName,modified,,3.0,,,A name of the activity that produced an acknowledgement. This property can be used to provide data for workflow coordination by the sending or receiving systems.,niem-xs:string,,,,
2.1,cbrn,AcknowledgingAgencyCode,modified,,3.0,,,An organization that is responsible for generating an acknowledgement.,,,,,
2.1,cbrn,ActivityName,modified,,3.0,,,A name of the activity associated with a request. This property can be used to provide data for workflow coordination by the sending or receiving systems.,niem-xs:string,,,,
2.1,cbrn,AlarmAudibleIndicator,modified,,3.0,,,True if an audible alarm was announced; false otherwise.  An indicator if an audible alarm was annunciated.,niem-xs:boolean,,,,
2.1,cbrn,AnalysisStartDateTime,modified,,3.0,,,A date and time at which an analysis was started.,niem-xs:dateTime,,,,
2.1,cbrn,ArrayXY,modified,,3.0,,,A two-dimensional array of numbers and (optionally) their uncertainty values.,,,,,
2.1,cbrn,CaseEventDateTime,modified,,3.0,,,A date and time of the first detection event associated with a case.,niem-xs:dateTime,,,,
2.1,cbrn,CaseMetadata,modified,,3.0,,,Metadata about a case.,structures:MetadataType,,,,
2.1,cbrn,CaseOfInterestUUID,modified,,3.0,,,A unique identifier of a case of interest  to which another case is related.,niem-xs:string,,,,
2.1,cbrn,CaseRequestCode,modified,,3.0,,,A description of a kind of Case request.,,,,,
2.1,cbrn,CaseSetQuantity,modified,,3.0,,,"A number of cases contained in a CaseSet , or otherwise related to a Case.",niem-xs:nonNegativeInteger,,,,
2.1,cbrn,CaseStartDateTime,modified,,3.0,,,A date and time when a case was initiated.,niem-xs:dateTime,,,,
2.1,cbrn,CaseStatus,modified,,3.0,,,A status of a case.,,,,,
