originalRelease,originalNamespace,originalTypeName,changeCode,issue,release,namespace,typeName,definition,parentType,baseType,contentStyle,simpleStyle,isAssociation,isAugmentation,isAdapter,isMetadata
3.0,ansi_d20,DriverLicenseMedicalSelfCertificationCodeSimpleType,modified,,3.1,ansi_d20,DriverLicenseMedicalSelfCertificationCodeSimpleType,A data type for a driver's self certification of the commercial driver's status regarding 49 CFR 390.3 and the type of driving.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,ansi_d20,DriverLicenseMedicalSelfCertificationCodeType,modified,,3.1,ansi_d20,DriverLicenseMedicalSelfCertificationCodeType,A data type for a driver's self certification of the commercial driver's status regarding 49 CFR 390.3 and the type of driving.,,ansi_d20:DriverLicenseMedicalSelfCertificationCodeSimpleType,CSC,<deleted>,FALSE,FALSE,FALSE,
3.0,ansi_d20,DrivingEndorsementCodeSimpleType,modified,,3.1,ansi_d20,DrivingEndorsementCodeSimpleType,A data type for endorsements on a driver license which authorizes the operation of specified kinds of vehicles carrying specified loads.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,ansi_d20,DrivingEndorsementCodeType,modified,,3.1,ansi_d20,DrivingEndorsementCodeType,A data type for endorsements on a driver license which authorizes the operation of specified kinds of vehicles carrying specified loads.,,ansi_d20:DrivingEndorsementCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.0,cbrn,DeviceIdentifierType,modified,,3.1,cbrn,DeviceIdentificationType,A data type to provide information regarding an encounter device.,,,CCC,,FALSE,FALSE,FALSE,
3.0,cbrn,ScanIdentifierDataType,modified,,3.1,cbrn,ScanIdentificationType,A data type that provides identification data about a scan.,cbrn:RemarksComplexObjectType,,CCC,,FALSE,FALSE,FALSE,
3.0,em,LocationAugmentationType,modified,,3.1,em,LocationAugmentationType,A data type for additional information about the location of the alarm.,,,CCC,,FALSE,FALSE,TRUE,
3.0,j,DriverLicenseEndorsementType,modified,,3.1,j,DriverLicenseBaseEndorsementType,A data type for an endorsement on a driver license or driver license permit which authorizes the operation of specified types of vehicles carrying specified loads.,,,CCC,<deleted>,FALSE,FALSE,FALSE,
3.0,j,EntityEmailAssociationType,modified,,3.1,j,EntityEmailAssociationType,A data type for a relationship between an entity (person or organization) and an E-mail address.,nc:AssociationType,,CCC,,FALSE,FALSE,FALSE,
3.0,mmucc,CrashFirstHarmfulEventCodeSimpleType,modified,,3.1,mmucc,CrashHarmfulEventCodeSimpleType,A data type for the injury or damage-producing event that characterizes the crash type.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,mmucc,CrashFirstHarmfulEventCodeType,modified,,3.1,mmucc,CrashHarmfulEventCodeType,A data type for the injury or damage-producing event that characterizes the crash type.,,mmucc:CrashHarmfulEventCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.0,mmucc,CrashWeatherConditionCodeType,modified,,3.1,mmucc,CrashWeatherConditionCodeType,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,,mmucc:AtmosphericConditionCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.0,mmucc,DriverLicenseJurisdictionOtherCodeSimpleType,modified,,3.1,mmucc,DriverLicenseJurisdictionOtherCodeSimpleType,"A data type for the geographic or political entity issuing a driver license other than US, Canadian Province, Mexican State.",,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,mmucc,DriverLicenseJurisdictionOtherCodeType,modified,,3.1,mmucc,DriverLicenseJurisdictionOtherCodeType,"A data type for the geographic or political entity issuing a driver license other than US, Canadian Province, Mexican State.",,mmucc:DriverLicenseJurisdictionOtherCodeSimpleType,CSC,<deleted>,FALSE,FALSE,FALSE,
3.0,mmucc,ImpactAreaCodeSimpleType,modified,,3.1,mmucc,VehicleDamageCodeSimpleType,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,mmucc,ImpactAreaCodeType,modified,,3.1,mmucc,VehicleDamageCodeType,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",,mmucc:VehicleDamageCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.0,mmucc,InformationSourceCategoryCodeSimpleType,modified,,3.1,mmucc,InformationSourceCodeSimpleType,A data type for an affiliation of the person completing the crash report such as Source of Information,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,mmucc,InformationSourceCategoryCodeType,modified,,3.1,mmucc,InformationSourceCodeType,A data type for an affiliation of the person completing the crash report such as Source of Information,,mmucc:InformationSourceCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.0,mmucc,NonMotoristCategoryCodeSimpleType,modified,,3.1,mmucc,NonMotoristPersonCategoryCodeSimpleType,A data type for a kind of Non-Motorist involved in a Traffic Accident.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,mmucc,NonMotoristCategoryCodeType,modified,,3.1,mmucc,NonMotoristPersonCategoryCodeType,A data type for a kind of Non-Motorist involved in a Traffic Accident.,,mmucc:NonMotoristPersonCategoryCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.0,mmucc,OccupantProtectionSystemHelmetUseCodeSimpleType,modified,,3.1,mmucc,OccupantProtectionSystemMotorcycleHelmetUseCodeSimpleType,"A data type for the helmet use by a motorcyclist, at the time of the crash.",,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,mmucc,OccupantProtectionSystemHelmetUseCodeType,modified,,3.1,mmucc,OccupantProtectionSystemMotorcycleHelmetUseCodeType,"A data type for the helmet use by a motorcyclist, at the time of the crash.",,mmucc:OccupantProtectionSystemMotorcycleHelmetUseCodeSimpleType,CSC,<deleted>,FALSE,FALSE,FALSE,
3.0,mmucc,RoadwayMainlineSideRoadNumberLanesCodeSimpleType,modified,,3.1,mmucc,RoadwayNumberLanesCodeSimpleType,"A data type for number of through lanes on the side-road approaches at intersection including all lanes with through movement (through and left-turn, or through and rightturn) but not exclusive turn lanes.",,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,mmucc,RoadwayMainlineSideRoadNumberLanesCodeType,modified,,3.1,mmucc,RoadwayNumberLanesCodeType,"A data type for number of through lanes on the side-road approaches at intersection including all lanes with through movement (through and left-turn, or through and rightturn) but not exclusive turn lanes.",,mmucc:RoadwayNumberLanesCodeSimpleType,CSC,<deleted>,FALSE,FALSE,FALSE,
3.0,mo,EventType,modified,,3.1,mo,EventType,A data type for the existence of a process or object at a location during a time interval.,,,CCC,,FALSE,FALSE,FALSE,
3.0,mo,MovementType,modified,,3.1,mo,MotionType,A data type for a 2D or 3D vector describing the motion of a process or object.,,,CCC,,FALSE,FALSE,FALSE,
3.0,,,new,,3.1,ansi_d20,DriverLicensePermitEndorsementCodeSimpleType,A data type for endorsements on a driver license permit which authorizes the operation of specified kinds of vehicles carrying specified loads.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,,,new,,3.1,ansi_d20,DriverLicensePermitEndorsementCodeType,A data type for endorsements on a driver license permit which authorizes the operation of specified kinds of vehicles carrying specified loads.,,ansi_d20:DriverLicensePermitEndorsementCodeSimpleType,CSC,atomic,FALSE,FALSE,FALSE,
3.0,,,new,,3.1,ansi_d20,DrivingPermitRestrictionCodeSimpleType,A data type for categories of driving restrictions for permits.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,,,new,,3.1,ansi_d20,DrivingPermitRestrictionCodeType,A data type for categories of driving restrictions for permits.,,ansi_d20:DrivingPermitRestrictionCodeSimpleType,CSC,atomic,FALSE,FALSE,FALSE,
3.0,,,new,,3.1,biom,AcquisitionSourceCodeSimpleType,A data type for a source acquisition code,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,,,new,,3.1,biom,AcquisitionSourceCodeType,A data type for a source acquisition code,,biom:AcquisitionSourceCodeSimpleType,CSC,atomic,FALSE,FALSE,FALSE,
3.0,,,new,,3.1,biom,AcquisitionSourceType,A data type for a source of an item,,,CCC,,FALSE,FALSE,FALSE,
3.0,,,new,,3.1,biom,AssociatedContextType,A data type for a reference to an associated context,,,CCC,,FALSE,FALSE,FALSE,
3.0,,,new,,3.1,biom,AssuranceLogEntryType,A data type for an information assurance log entry,,,CCC,,FALSE,FALSE,FALSE,
3.0,,,new,,3.1,biom,AssuranceLogEventCodeSimpleType,A data type for an information assurance log event code,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.0,,,new,,3.1,biom,AssuranceLogEventCodeType,A data type for an information assurance log event code,,biom:AssuranceLogEventCodeSimpleType,CSC,atomic,FALSE,FALSE,FALSE,
