originalRelease,originalNamespace,originalPropertyName,changeCode,issue,release,namespace,propertyName,definition,dataType,substitutionGroupHead,elementOrAttribute,concreteOrAbstract,isAbstract
3.1,cyfs,ActivityInvolvedPersonAssociationAugmentation,modified,,3.2,cyfs,ActivityPersonAssociationAugmentation,Additional information about a relationship between an activity and a person involved in that activity.,cyfs:ActivityInvolvedPersonAssociationAugmentationType,nc:ActivityPersonAssociationAugmentationPoint,TRUE,FALSE,
3.1,hs,StateInputDataAugmentationPoint,modified,,3.2,hs,StateInputAugmentationPoint,An augmentation point for type hs:StateInputType,,,TRUE,TRUE,
3.1,j,BridgeStructure,modified,,3.2,st,BridgeStructure,"A bridge, underpass, overpass, or tunnel bridge/structure that is also linkable to the national bridge inventory.",nc:FacilityType,,TRUE,FALSE,
3.1,j,IntersectionCategory,modified,,3.2,st,IntersectionCategory,A data concept for an intersection consists of two or more roadways.,,,TRUE,TRUE,
3.1,j,IntersectionCategoryCode,modified,,3.2,st,IntersectionCategoryCode,An intersection consists of two or more roadways.,mmucc:IntersectionCategoryCodeType,st:IntersectionCategory,TRUE,FALSE,
3.1,j,JurisdictionNCICLISCode,modified,,3.2,j,JurisdictionNCICLISCode,"An area, state, region, or other geographic unit over which some kind of authority exists.",ncic:CTZCodeType,nc:JurisdictionAbstract,TRUE,FALSE,
3.1,j,JurisdictionNCICLSTACode,modified,,3.2,j,JurisdictionNCICLSTACode,"An area, state, region, or other geographic unit over which some kind of authority exists.",ncic:CTZCodeType,nc:JurisdictionAbstract,TRUE,FALSE,
3.1,j,JurisdictionNCICRESCode,modified,,3.2,j,JurisdictionNCICRESCode,"An area, state, region, or other geographic unit over which some kind of authority exists.",ncic:CTZCodeType,nc:JurisdictionAbstract,TRUE,FALSE,
3.1,j,LocationRoadway,modified,,3.2,st,LocationRoadway,A part of the roadway where Traffic Accident occurred.,st:LocationRoadwayType,,TRUE,FALSE,
3.1,j,LocationRoadwayAugmentationPoint,modified,,3.2,st,LocationRoadwayAugmentationPoint,An augmentation point for LocationRoadwayType.,,,TRUE,TRUE,
3.1,j,LocationStateNCICLISCode,modified,,3.2,j,LocationStateNCICLISCode,"A state, commonwealth, province, or other such geopolitical subdivision of a country.",ncic:CTZCodeType,nc:LocationState,TRUE,FALSE,
3.1,j,LocationStateNCICLSTACode,modified,,3.2,j,LocationStateNCICLSTACode,"A state, commonwealth, province, or other such geopolitical subdivision of a country.",ncic:CTZCodeType,nc:LocationState,TRUE,FALSE,
3.1,j,LocationStateNCICRESCode,modified,,3.2,j,LocationStateNCICRESCode,"A state, commonwealth, province, or other such geopolitical subdivision of a country.",ncic:CTZCodeType,nc:LocationState,TRUE,FALSE,
3.1,j,PersonBirthplaceCode,modified,,3.2,j,PersonBirthplaceCode,A state or country of a person's birth.,ncic:CTZCodeType,j:PersonBirthplace,TRUE,FALSE,
3.1,j,ResidenceAssociationAugmentation,modified,,3.2,j,PersonResidenceAssociationAugmentation,Additional information about a ResidenceAssociation.,j:PersonResidenceAssociationAugmentationType,nc:PersonResidenceAssociationAugmentationPoint,TRUE,FALSE,
3.1,j,RoadwayAccessControl,modified,,3.2,st,RoadwayAccessControl,"A data concept for a degree that access to abutting land is fully, partially or not controlled by a public authority.",,,TRUE,TRUE,
3.1,j,RoadwayAccessControlCode,modified,,3.2,st,RoadwayAccessControlCode,"A degree that access to abutting land is fully, partially or not controlled by a public authority.",st:RoadwayAccessControlCodeType,st:RoadwayAccessControl,TRUE,FALSE,
3.1,j,RoadwayAnnualAverageDailyTraffic,modified,,3.2,st,RoadwayAnnualAverageDailyTraffic,"An average number of motor vehicles passing a point on a trafficway in a day, for all days of the year, during a specified calendar year.",st:RoadwayAnnualAverageDailyTrafficType,,TRUE,FALSE,
3.1,j,RoadwayAnnualAverageDailyTrafficAugmentationPoint,modified,,3.2,st,RoadwayAnnualAverageDailyTrafficAugmentationPoint,An augmentation point for RoadwayAnnualAverageDailyTrafficType.,,,TRUE,TRUE,
3.1,j,RoadwayAnnualAverageDailyTrafficQuantity,modified,,3.2,st,RoadwayAnnualAverageDailyTrafficQuantity,"A AADT number for a specific calendar year, in Motor Vehicles Per Day.",nc:QuantityType,,TRUE,FALSE,
3.1,j,RoadwayAnnualAverageDailyTrafficYearDate,modified,,3.2,st,RoadwayAnnualAverageDailyTrafficYearDate,A calendar year when AADT was calculated.,niem-xs:gYear,,TRUE,FALSE,
3.1,j,RoadwayCurveApplicableIndicator,modified,,3.2,st,RoadwayCurveApplicableIndicator,True if road curvature measurement parameters are applicable to this particular road part; false otherwise.,niem-xs:boolean,,TRUE,FALSE,
