Release,PropertyNamespacePrefix,PropertyName,QualifiedProperty,IsElement,IsAbstract,Keywords,ExampleContent,UsageInfo,Definition,TypeNamespacePrefix,TypeName,QualifiedType,SubstitutionGroupPropertyNamespacePrefix,SubstitutionGroupPropertyName,SubstitutionGroupQualifiedProperty
5.2,ag,AcreageCalculationProjectionCode,ag:AcreageCalculationProjectionCode,1,0,,,,A calculation code identifying the geospatial projection standard used for calculating acreage.,ag_codes,CoordinateReferenceSystemCodeType,ag_codes:CoordinateReferenceSystemCodeType,,,
5.2,ag,AcreageSubmissionFile,ag:AcreageSubmissionFile,1,0,,,"This file set is used to transmit an acreage report from an FSA County Office, an Approved Insurance Provider (AIP), or a producer.","A file that is submitted to the crop acreage clearinghouse providing a detailed report regarding the crops planted on a farm, itemized down to the acreage of individual fields and subfields and the individual producer stakeholders.",ag,AcreageSubmissionFileType,ag:AcreageSubmissionFileType,,,
5.2,ag,AcreageSubmissionFileAugmentationPoint,ag:AcreageSubmissionFileAugmentationPoint,1,1,,,,An augmentation point for AcreageSubmissionFileType.,,,,,,
5.2,ag,AdministrativeCountyFSACode,ag:AdministrativeCountyFSACode,1,0,,,"The code is used within the Farm Service Agency (FSA) to identify a county, equivalent entity, or combination thereof within the United States, its possessions, and associated areas as defined within Handbook 1-CM, Exhibit 100.

Many of the code values used by are similar to County ANSI/FIPS Code, which follows the American National Standards Institute (ANSI) numeric INCITS 31-2009 and Federal Information Processing Standards Publications (FIPS Pub) 6-4 standard. The expanded even-numbered FSA codes identify counties that contain more than one office due to geographic considerations.

Specific values are documented in Handbook 1-CM.",A county code of the administering county office.,usda_fsa,AdministrativeCountyFSACodeType,usda_fsa:AdministrativeCountyFSACodeType,,,
5.2,ag,AdministrativeStateFSACode,ag:AdministrativeStateFSACode,1,0,,,"State code used within the Farm Service Agency (FSA) to identify a state within the United States, United States Possessions, freely associated areas of the United States, or a combination thereof as defined within Handbook 1-CM, Exhibit 100.

Many of the code values used by State FSA Code are similar to State ANSI/FIPS Code, which follows the American National Standards Institute (ANSI) numeric INCITS 31-2009 and Federal Information Processing Standards Publications (FIPS Pub) 6-4 standard. In some cases FSA codes are different from the ANSI/FIPS codes.

Specific values are documented in the Handbook 1-CM, Exhibit 100.",A state code of administering state office.,usda_fsa,AdministrativeStateFSACodeType,usda_fsa:AdministrativeStateFSACodeType,,,
5.2,ag,AgricultureProductionPlan,ag:AgricultureProductionPlan,1,0,,,,An agricultural production plan describes the details of a crop that is planted on a specific field or subfield of land.,ag,AgricultureProductionPlanType,ag:AgricultureProductionPlanType,,,
5.2,ag,AgricultureProductionPlanAugmentationPoint,ag:AgricultureProductionPlanAugmentationPoint,1,1,,,,An augmentation point for AgricultureProductionPlanType.,,,,,,
5.2,ag,CLUID,ag:CLUID,1,0,,,"This identifier is for internal access use only.

A CLU is the smallest unit of land that has a permanent, contiguous boundary, common land cover and land management, a common owner, and a common producer association.

A CLU is closely related to FS's definition of 'fields', according to Handbook 2-CP. A CLU is also closely related to land units such as parcels, farmsteads, and lots that are used by NRCS, RMA and RD.

The authoritative source of CLU Identifier is Farm Records. CLU Identifier can remain constant even if the precise geospatial shape of the CLU is slightly altered.",A system-generated internal identifier of a common land unit (CLU).,ag_codes,CLUIDType,ag_codes:CLUIDType,,,
5.2,ag,CLUProducerReviewRequestIndicator,ag:CLUProducerReviewRequestIndicator,1,0,,,,True if the producer has requested that a Common Land Unit (CLU) be reviewed; false otherwise.,niem-xs,boolean,niem-xs:boolean,,,
5.2,ag,CoreProductCategoryCode,ag:CoreProductCategoryCode,1,0,,,,"A product type code providing a subclassification of agricultural products in addition to the main classification provided by the Core Product Code. Each product classified by a Core Product Code is also assigned a Core Product Type Code providing greater clarification of the crop/commodity, tree, livestock ,etc. Codes are maintained by the Pilot CVT (Crop Validation Table).",ag_codes,CoreProductCategoryType,ag_codes:CoreProductCategoryType,,,
