Release,PropertyNamespacePrefix,PropertyName,QualifiedProperty,IsElement,IsAbstract,Keywords,ExampleContent,UsageInfo,Definition,TypeNamespacePrefix,TypeName,QualifiedType,SubstitutionGroupPropertyNamespacePrefix,SubstitutionGroupPropertyName,SubstitutionGroupQualifiedProperty
4.1,st,AADTRampNumeric,st:AADTRampNumeric,1,0,,,,An AADT on ramp,nc,NumericType,nc:NumericType,,,
4.1,st,AADTRampYearDate,st:AADTRampYearDate,1,0,,,,A year of AADT on Ramp,niem-xs,gYear,niem-xs:gYear,,,
4.1,st,AADTRoadIntersectingNumeric,st:AADTRoadIntersectingNumeric,1,0,,,,"An AADT value to represent the current data year. For two-way facilities, provide the AADT for both directions; provide the directional AADT if part of a one-way couplet or for one-way streets",nc,NumericType,nc:NumericType,,,
4.1,st,AADTRoadIntersectingYearDate,st:AADTRoadIntersectingYearDate,1,0,,,,An AADT year road intersection,niem-xs,gYear,niem-xs:gYear,,,
4.1,j,AbscondIndicator,j:AbscondIndicator,1,0,,,,True if person under supervision has departed secretly to evade legal process; false otherwise.,niem-xs,boolean,niem-xs:boolean,,,
4.1,gml,AbstractFeature,gml:AbstractFeature,1,0,,,,"This abstract element serves as the head of a substitution group which may contain any elements whose content model is derived from gml:AbstractFeatureType.  This may be used as a variable in the construction of content models.   gml:AbstractFeature may be thought of as ""anything that is a GML feature"" and may be used to define variables or templates in which the value of a GML property is ""any feature"". This occurs in particular in a GML feature collection where the feature member properties contain one or multiple copies of gml:AbstractFeature respectively.",,,,,,
4.1,gml,AbstractGeometry,gml:AbstractGeometry,1,0,,,,The AbstractGeometry element is the abstract head of the substitution group for all geometry elements of GML. This includes pre-defined and user-defined geometry elements. Any geometry element shall be a direct or indirect extension/restriction of AbstractGeometryType and shall be directly or indirectly in the substitution group of AbstractGeometry.,,,,,,
4.1,hs,AbuseNeglectAllegationCategoryText,hs:AbuseNeglectAllegationCategoryText,1,0,,,,"A kind of allegation of abuse, sexual abuse, or neglect, provided by the referral or by the reporter at the time of investigation.",nc,TextType,nc:TextType,,,
4.1,hs,AbuseNeglectAllegationOriginationText,hs:AbuseNeglectAllegationOriginationText,1,0,,,,"A specification of where the allegation originated, such as whether the allegation was alleged by a reporter or collected during the investigation.",nc,TextType,nc:TextType,,,
4.1,hs,AbuseNeglectDetailCategoryText,hs:AbuseNeglectDetailCategoryText,1,0,,,,A kind of injury suffered by the alleged victim of abuse or neglect.,nc,TextType,nc:TextType,,,
4.1,hs,AbuseNeglectHarmAgeText,hs:AbuseNeglectHarmAgeText,1,0,,,,"A narrative description of the age of the injury, such as may be indicated by the coloration of a bruise.",nc,TextType,nc:TextType,,,
4.1,hs,AbuseNeglectInjury,hs:AbuseNeglectInjury,1,0,,,,A form of physical harm or damage sustained by the survivor of abuse or neglect.,hs,AbuseNeglectInjuryType,hs:AbuseNeglectInjuryType,,,
4.1,hs,AbuseNeglectInjuryAugmentationPoint,hs:AbuseNeglectInjuryAugmentationPoint,1,1,,,,An augmentation point for AbuseNeglectInjuryType.,,,,,,
4.1,hs,AbuseNeglectReportedIndicator,hs:AbuseNeglectReportedIndicator,1,0,,,,True if the case manager made an abuse or neglect report; false otherwise.,niem-xs,boolean,niem-xs:boolean,,,
4.1,hs,AbuseNeglectSeverityAbstract,hs:AbuseNeglectSeverityAbstract,1,1,,,,A data concept for describing the severity of abuse or neglect.,,,,,,
4.1,hs,AbuseNeglectSeverityCode,hs:AbuseNeglectSeverityCode,1,0,,,,A severity description of each type of abuse and/or neglect on a client.,hs,AbuseNeglectSeverityCodeType,hs:AbuseNeglectSeverityCodeType,hs,AbuseNeglectSeverityAbstract,hs:AbuseNeglectSeverityAbstract
4.1,hs,AbuseNeglectSeverityText,hs:AbuseNeglectSeverityText,1,0,,,,A severity description of each type of abuse and/or neglect on a client.,nc,TextType,nc:TextType,hs,AbuseNeglectSeverityAbstract,hs:AbuseNeglectSeverityAbstract
4.1,j,AcademicAssessment,j:AcademicAssessment,1,0,,,,An institution or agency assessment process for determining academic needs of a subject.,j,AcademicAssessmentType,j:AcademicAssessmentType,,,
4.1,j,AcademicAssessmentAugmentationPoint,j:AcademicAssessmentAugmentationPoint,1,1,,,,An augmentation point for type j:AcademicAssessmentType,,,,,,
4.1,j,AcademicAssessmentEducation,j:AcademicAssessmentEducation,1,0,,,,An assessment history of education and academic achievement of a subject.,hs,EducationType,hs:EducationType,,,
4.1,j,AcademicAssessmentGradePointLevelNumeric,j:AcademicAssessmentGradePointLevelNumeric,1,0,,,,A number for the grade point score awarded to a subject for a completed academic course.,nc,NumericType,nc:NumericType,,,
4.1,im,AcademicProgramText,im:AcademicProgramText,1,0,,,,A field detailing the alien students academic program.,nc,TextType,nc:TextType,,,
4.1,j,AcademicRecord,j:AcademicRecord,1,0,,,,A record of academic achievement for a subject.,j,AcademicRecordType,j:AcademicRecordType,,,
4.1,j,AcademicRecordAugmentationPoint,j:AcademicRecordAugmentationPoint,1,1,,,,An augmentation point for type j:AcademicRecordType,,,,,,
4.1,j,AcademicRecordCreditsEarnedNumeric,j:AcademicRecordCreditsEarnedNumeric,1,0,,,,A number of academic credits earned by a subject.,nc,NumericType,nc:NumericType,,,
4.1,j,AcademicRecordCreditsNeededNumeric,j:AcademicRecordCreditsNeededNumeric,1,0,,,,A number of academic credits required by a subject.,nc,NumericType,nc:NumericType,,,
4.1,j,AcademicRecordDiplomaDescriptionText,j:AcademicRecordDiplomaDescriptionText,1,0,,,,A description of a diploma received.,nc,TextType,nc:TextType,,,
4.1,j,AcademicRecordDiplomaReceivedDate,j:AcademicRecordDiplomaReceivedDate,1,0,,,,A date a diploma was awarded.,nc,DateType,nc:DateType,,,
4.1,j,AcademicRecordExpelledFromSchoolIndicator,j:AcademicRecordExpelledFromSchoolIndicator,1,0,,,,True if subject was ever expelled from school; false otherwise.,niem-xs,boolean,niem-xs:boolean,,,
4.1,j,AcademicRecordRecordedDate,j:AcademicRecordRecordedDate,1,0,,,,A date on which the training information was entered.,nc,DateType,nc:DateType,,,
4.1,j,AcademicRecordUnitsTotalNumeric,j:AcademicRecordUnitsTotalNumeric,1,0,,,,A number of total academic units completed.,nc,NumericType,nc:NumericType,,,
4.1,j,AcademicRecordYearDate,j:AcademicRecordYearDate,1,0,,,,A calendar year for which records are being recorded.,niem-xs,gYear,niem-xs:gYear,,,
4.1,j,AcademicSubjectMatter,j:AcademicSubjectMatter,1,0,,,,A specific course content related to core education and academic assessments and programs.,j,AcademicSubjectMatterType,j:AcademicSubjectMatterType,,,
4.1,j,AcademicSubjectMatterAugmentationPoint,j:AcademicSubjectMatterAugmentationPoint,1,1,,,,An augmentation point for type j:AcademicSubjectMatterType,,,,,,
4.1,j,AcademicSubjectMatterCreditsNumeric,j:AcademicSubjectMatterCreditsNumeric,1,0,,,,A number of academic credits associated with a specified subject or course.,nc,NumericType,nc:NumericType,,,
4.1,j,AcademicSubjectMatterName,j:AcademicSubjectMatterName,1,0,,,,A name of an academic course or subject.,nc,ProperNameTextType,nc:ProperNameTextType,,,
4.1,j,AcademicSubjectMatterText,j:AcademicSubjectMatterText,1,0,,,,A description of an academic course or subject.,nc,TextType,nc:TextType,,,
4.1,im,AcademicTermLengthQuantity,im:AcademicTermLengthQuantity,1,0,,,,A number of the estimated time (duration) of an alien students academic-term.,nc,QuantityType,nc:QuantityType,,,
4.1,j,AcademicTestText,j:AcademicTestText,1,0,,,,An examination of a course of study.,nc,TextType,nc:TextType,,,
4.1,em,Access,em:Access,1,0,,,,A credential class that describes the access rights of a resource,em,AccessType,em:AccessType,,,
4.1,em,AccessAugmentationPoint,em:AccessAugmentationPoint,1,1,,,,An augmentation point for AccessType,,,,,,
4.1,scr,AccessControlLevelCodeValue,scr:AccessControlLevelCodeValue,1,0,,,,A number value for the access control level to be applied to the record,niem-xs,integer,niem-xs:integer,,,
4.1,j,AccessoryAssociation,j:AccessoryAssociation,1,0,,,,A relationship between a subject and a person.,j,SubjectPersonAssociationType,j:SubjectPersonAssociationType,,,
4.1,em,AccessRightDescriptionText,em:AccessRightDescriptionText,1,0,,,,A textual description of the access rights of a resource,nc,TextType,nc:TextType,,,
4.1,scr,AccompaniedByFamilyIndicator,scr:AccompaniedByFamilyIndicator,1,0,,,,True if a subject is accompanied by a family member when entering the United States; false otherwise.,niem-xs,boolean,niem-xs:boolean,,,
4.1,j,AccompliceAssociation,j:AccompliceAssociation,1,0,,,,An association between an accomplice and a subject.,j,SubjectPersonAssociationType,j:SubjectPersonAssociationType,,,
4.1,cbrn,AcknowledgementData,cbrn:AcknowledgementData,1,0,,,,A set of data regarding an acknowledgement.,cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,,,
4.1,cbrn,AcknowledgementDataAugmentationPoint,cbrn:AcknowledgementDataAugmentationPoint,1,1,,,,An augmentation point for cbrn:AcknowledgementDataType.,,,,,,
4.1,scr,AcknowledgementDate,scr:AcknowledgementDate,1,0,,,,A date that the request is ready for processing in the US-VISIT/IDENT system.,nc,DateType,nc:DateType,,,
4.1,cbrn,AcknowledgementDateTime,cbrn:AcknowledgementDateTime,1,0,,,,A Date/time when an acknowledgement was generated.,niem-xs,dateTime,niem-xs:dateTime,,,
4.1,cbrn,AcknowledgementID,cbrn:AcknowledgementID,1,0,,,,A unique identifier of an acknowledgement.,niem-xs,string,niem-xs:string,,,
4.1,cbrn,AcknowledgingActivityName,cbrn:AcknowledgingActivityName,1,0,,,,A name of the activity that produced an acknowledgement. This property can be used to provide data for workflow coordination by the sending or receiving systems.,niem-xs,string,niem-xs:string,,,
4.1,cbrn,AcknowledgingAgency,cbrn:AcknowledgingAgency,1,0,,,,An organization that is responsible for generating an acknowledgement message.,cbrn,AcknowledgingAgencyType,cbrn:AcknowledgingAgencyType,,,
4.1,cbrn,AcknowledgingAgencyAugmentationPoint,cbrn:AcknowledgingAgencyAugmentationPoint,1,1,,,,An augmentation point for cbrn:AcknowledgingAgencyType.,,,,,,
4.1,cbrn,AcknowledgingAgencyCode,cbrn:AcknowledgingAgencyCode,1,0,,,,An organization that is responsible for generating an acknowledgement.,cbrncl,GNDAOrgCodeType,cbrncl:GNDAOrgCodeType,,,
4.1,nc,AcquaintanceAssociation,nc:AcquaintanceAssociation,1,0,,,,An association between people who recognize each other but do not know each other very well.,nc,PersonAssociationType,nc:PersonAssociationType,,,
4.1,biom,AcquisitionDigitalConversionDescriptionText,biom:AcquisitionDigitalConversionDescriptionText,1,0,,,,A description of the analog to digital equipment used to store a representation of the source,nc,TextType,nc:TextType,,,
4.1,biom,AcquisitionLightingSpectrumAugmentationPoint,biom:AcquisitionLightingSpectrumAugmentationPoint,1,1,,,,An augmentation point for AcquisitionLightingSpectrumType,,,,,,
4.1,biom,AcquisitionLightingSpectrumCode,biom:AcquisitionLightingSpectrumCode,1,0,,,,A lighting spectrum used in capturing an image,biom,AcquisitionLightingSpectrumCodeType,biom:AcquisitionLightingSpectrumCodeType,,,
4.1,biom,AcquisitionLightingSpectrumLowerMeasure,biom:AcquisitionLightingSpectrumLowerMeasure,1,0,,,,A lower value in nanometers for the lighting spectrum used in capturing an iris image,niem-xs,nonNegativeInteger,niem-xs:nonNegativeInteger,,,
4.1,biom,AcquisitionLightingSpectrumUpperMeasure,biom:AcquisitionLightingSpectrumUpperMeasure,1,0,,,,An upper value in nanometers for the lighting spectrum used in capturing an iris image,niem-xs,nonNegativeInteger,niem-xs:nonNegativeInteger,,,
4.1,biom,AcquisitionRadioTransmissionFormatDescriptionText,biom:AcquisitionRadioTransmissionFormatDescriptionText,1,0,,,,An acquisition radio transmission format description.,nc,TextType,nc:TextType,,,
4.1,biom,AcquisitionSourceCategoryText,biom:AcquisitionSourceCategoryText,1,0,,,,A kind of biometric capture source (system name etc.).,nc,TextType,nc:TextType,,,
4.1,biom,AcquisitionSourceCode,biom:AcquisitionSourceCode,1,0,,,,A kind of acquisition method for the source representation,biom,AcquisitionSourceCodeType,biom:AcquisitionSourceCodeType,,,
4.1,biom,AcquisitionSourceDescriptionText,biom:AcquisitionSourceDescriptionText,1,0,,,,A description of a vendor-specified source of an image,nc,TextType,nc:TextType,,,
4.1,biom,AcquisitionSourceText,biom:AcquisitionSourceText,1,0,,,,An element to capture source or location information from which a biometric sample was collected.,nc,TextType,nc:TextType,,,
4.1,biom,AcquisitionSpecialCharacteristicsText,biom:AcquisitionSpecialCharacteristicsText,1,0,,,,A description of any specific conditions. An example would be a near-infrared camera outputting images in visible wavelengths,nc,TextType,nc:TextType,,,
4.1,ag,AcreageCalculationProjectionCode,ag:AcreageCalculationProjectionCode,1,0,,,,A calculation code identifying the geospatial projection standard used for calculating acreage.,ag_codes,CoordinateReferenceSystemCodeType,ag_codes:CoordinateReferenceSystemCodeType,,,
4.1,ag,AcreageSubmissionFile,ag:AcreageSubmissionFile,1,0,,,,"A file that is submitted to the crop acreage clearinghouse providing a detailed report regarding the crops planted on a farm, itemized down to the acreage of individual fields and subfields and the individual producer stakeholders.",ag,AcreageSubmissionFileType,ag:AcreageSubmissionFileType,,,
4.1,ag,AcreageSubmissionFileAugmentationPoint,ag:AcreageSubmissionFileAugmentationPoint,1,1,,,,An augmentation point for AcreageSubmissionFileType.,,,,,,
4.1,hs,ActionRequestedAbstract,hs:ActionRequestedAbstract,1,1,,,,"A data concept for describing an agency's request for court action, based upon the needs of the child, youth, or family.",,,,,,
4.1,hs,ActionRequestedCode,hs:ActionRequestedCode,1,0,,,,"A code indicating any of the actions being requested of the court e.g. what types of services the child needs  (e.g. mental health, medical, emergency, basic, therapeutic, habilitative).",hs,ActionRequestedCodeType,hs:ActionRequestedCodeType,hs,ActionRequestedAbstract,hs:ActionRequestedAbstract
4.1,hs,ActionRequestedText,hs:ActionRequestedText,1,0,,,,An action being requested.,nc,TextType,nc:TextType,hs,ActionRequestedAbstract,hs:ActionRequestedAbstract
4.1,nc,Activity,nc:Activity,1,0,,,,"A single or set of related actions, events, or process steps.",nc,ActivityType,nc:ActivityType,,,
4.1,j,ActivityActualDuration,j:ActivityActualDuration,1,0,,,,An actual duration of an activity.,niem-xs,duration,niem-xs:duration,,,
4.1,nc,ActivityAdministratorOrganizationAssociation,nc:ActivityAdministratorOrganizationAssociation,1,0,,,,An association between an activity and an organization which administers it.,nc,ActivityOrganizationAssociationType,nc:ActivityOrganizationAssociationType,,,
4.1,nc,ActivityAdministratorPersonAssociation,nc:ActivityAdministratorPersonAssociation,1,0,,,,An association between an activity and a person who administers it.,nc,ActivityPersonAssociationType,nc:ActivityPersonAssociationType,,,
4.1,j,ActivityApprovedIndicator,j:ActivityApprovedIndicator,1,0,,,,True if the activity request was approved; false otherwise.,niem-xs,boolean,niem-xs:boolean,,,
4.1,j,ActivityArrestAssociation,j:ActivityArrestAssociation,1,0,,,,An association between an activity and an arrest.,j,ActivityArrestAssociationType,j:ActivityArrestAssociationType,,,
4.1,j,ActivityArrestAssociationAugmentationPoint,j:ActivityArrestAssociationAugmentationPoint,1,1,,,,An augmentation point for ActivityArrestAssociationType.,,,,,,
4.1,j,ActivityAssignedDate,j:ActivityAssignedDate,1,0,,,,A date on which an activity was assigned.,nc,DateType,nc:DateType,,,
4.1,j,ActivityAssistingPersonAssociation,j:ActivityAssistingPersonAssociation,1,0,,,,An association between an activity and someone who assists with that activity.,nc,ActivityPersonAssociationType,nc:ActivityPersonAssociationType,,,
4.1,j,ActivityAugmentation,j:ActivityAugmentation,1,0,,,,Additional information about an activity.,j,ActivityAugmentationType,j:ActivityAugmentationType,nc,ActivityAugmentationPoint,nc:ActivityAugmentationPoint
4.1,nc,ActivityAugmentationPoint,nc:ActivityAugmentationPoint,1,1,,,,An augmentation point for ActivityType.,,,,,,
4.1,nc,ActivityBillRecipientOrganizationAssociation,nc:ActivityBillRecipientOrganizationAssociation,1,0,,,,An association between an activity and an organization which receives a bill for the activity.,nc,ActivityOrganizationAssociationType,nc:ActivityOrganizationAssociationType,,,
4.1,nc,ActivityBillRecipientPersonAssociation,nc:ActivityBillRecipientPersonAssociation,1,0,,,,An association between an activity and a person who receives a bill for the activity.,nc,ActivityPersonAssociationType,nc:ActivityPersonAssociationType,,,
4.1,j,ActivityCapacityQuantity,j:ActivityCapacityQuantity,1,0,,,,A number for the specified maximum enrollment capacity of an activity.,nc,QuantityType,nc:QuantityType,,,
4.1,j,ActivityCaseAssociation,j:ActivityCaseAssociation,1,0,,,,An association between an activity and a case.,j,ActivityCaseAssociationType,j:ActivityCaseAssociationType,,,
4.1,j,ActivityCaseAssociationAugmentationPoint,j:ActivityCaseAssociationAugmentationPoint,1,1,,,,An augmentation point for ActivityCaseAssociationType.,,,,,,
4.1,nc,ActivityCategoryText,nc:ActivityCategoryText,1,0,,"For an arrest, this could be ""felony arrest"".  For an incident, this could be ""burglary"".  For an encounter, this could be ""interview"".",,A kind of activity.,nc,TextType,nc:TextType,,,
4.1,j,ActivityChargeAssociation,j:ActivityChargeAssociation,1,0,,,,An association between an activity and a charge.,j,ActivityChargeAssociationType,j:ActivityChargeAssociationType,,,
4.1,j,ActivityChargeAssociationAugmentationPoint,j:ActivityChargeAssociationAugmentationPoint,1,1,,,,An augmentation point for ActivityChargeAssociationType.,,,,,,
4.1,j,ActivityClearerPersonAssociation,j:ActivityClearerPersonAssociation,1,0,,,,An association between an activity and a person who cleared information for that activity.,nc,ActivityPersonAssociationType,nc:ActivityPersonAssociationType,,,
4.1,j,ActivityComment,j:ActivityComment,1,0,,,,A comment about the activity.,nc,CommentType,nc:CommentType,,,
4.1,scr,ActivityCommentText,scr:ActivityCommentText,1,0,,,,A note or comment about an activity.,nc,TextType,nc:TextType,,,
