originalRelease,originalNamespace,originalTypeName,changeCode,issue,release,namespace,typeName,definition,parentType,baseType,contentStyle,simpleStyle,isAssociation,isAugmentation,isAdapter,isMetadata
4.0,biom,ANSIRecordCategoryCodeSimpleType,modified,,4.1,biom,ANSIRecordCategoryCodeSimpleType,A data type for a kind of record based on ANSI/NIST-ITL 1-2013 (Obsolete),,xs:integer,S,atomic,,FALSE,FALSE,FALSE
4.0,biom,ANSIRecordCategoryCodeType,modified,,4.1,biom,ANSIRecordCategoryCodeType,A data type for a kind of record (Obsolete),,biom:ANSIRecordCategoryCodeSimpleType,CSC,<deleted>,,FALSE,FALSE,FALSE
4.0,biom,ContentDiaryInformationType,modified,,4.1,biom,ContentDiaryInformationType,A data type lists highly-detailed timings within the voice recording of specific audio segments of interest.,biom:DiaryInformationType,,CCC,,,FALSE,FALSE,FALSE
4.0,biom,ContentInformationType,modified,,4.1,biom,ContentInformationType,A data type for indicating a recording's diarization status and the diarizing agency,,,CCC,,,FALSE,FALSE,FALSE
4.0,biom,DentalHistoryDataInformationType,modified,,4.1,biom,DentalHistoryDataInformationType,"A data type for a description of the prior dental history of the subject, if known.",,,CCC,,,FALSE,FALSE,FALSE
4.0,biom,DentalVisualImageDataInformationType,modified,,4.1,biom,DentalVisualImageDataInformationType,A data type that allows the entry of information concerning type-10 images of the mouth.,,,CCC,,,FALSE,FALSE,FALSE
4.0,biom,DiarizationIndicatorCodeType,modified,,4.1,biom,DiarizationIndicatorCodeType,A data type for a Diarization Indicator Code.,,biom:DiarizationIndicatorCodeSimpleType,CSC,<deleted>,,FALSE,FALSE,FALSE
4.0,biom,DiaryInformationType,modified,,4.1,biom,DiaryInformationType,A data type that lists basic information and timings within the voice recording of interest.,,,CCC,,,FALSE,FALSE,FALSE
4.0,biom,DirectionMeasureSimpleType,modified,,4.1,biom,DirectionMeasureSimpleType,A data type for a measurement of a core angle,,xs:nonNegativeInteger,S,atomic,,FALSE,FALSE,FALSE
4.0,biom,DirectionMeasureType,modified,,4.1,biom,DirectionMeasureType,A data type for an angle of direction between 0 and 360 (degrees),,biom:DirectionMeasureSimpleType,CSC,<deleted>,,FALSE,FALSE,FALSE
4.0,biom,DNALaboratoryAccreditationType,modified,,4.1,biom,DNALaboratoryAccreditationType,A data type for a description of the accreditation level of the organization responsible for processing DNA samples,,,CCC,,,FALSE,FALSE,FALSE
4.0,biom,EFSTemporaryLineType,modified,,4.1,biom,EFSTemporaryLineType,"A data type that is used by a latent examiner to annotate a friction ridge image with temporary lines, generally for use as reference points in making a comparison. These lines are solely for the individual examiner's use and reference _ there",,,CCC,,,FALSE,FALSE,FALSE
4.0,biom,FaceImageOcclusionType,modified,,4.1,biom,FaceImageOcclusionType,A data type for a blockage in a face image,,,CCC,,,FALSE,FALSE,FALSE
4.0,biom,IrisMissingCodeType,modified,,4.1,biom,IrisMissingCodeType,A data type for a representation of the iris image missing codes for one or both eyes.,,biom:IrisMissingCodeSimpleType,CSC,<deleted>,,FALSE,FALSE,FALSE
4.0,biom,LipPrintPathologiesPeculiaritiesCodeSimpleType,modified,,4.1,biom,LipPrintPathologiesPeculiaritiesCodeSimpleType,A data type for a description of lip pathologies and peculiarities,,xs:token,S,atomic,,FALSE,FALSE,FALSE
4.0,biom,MouthDataInformationType,modified,,4.1,biom,MouthDataInformationType,A data type for a description of the medical (dental) observations of the mouth.,,,CCC,,,FALSE,FALSE,FALSE
4.0,biom,PalmprintImageAcquisitionProfileCodeSimpleType,modified,,4.1,biom,PalmPrintImageAcquisitionProfileCodeSimpleType,A data type for a set of criteria under which the Palm print image was captured or Subject acquisition profile(SAP),,xs:integer,S,atomic,,FALSE,FALSE,FALSE
4.0,biom,PalmprintImageAcquisitionProfileCodeType,modified,,4.1,biom,PalmPrintImageAcquisitionProfileCodeType,A data type for a set of criteria under which the Palm print image was captured,,biom:PalmPrintImageAcquisitionProfileCodeSimpleType,CSC,<deleted>,,FALSE,FALSE,FALSE
4.0,biom,RidgeCountType,modified,,4.1,biom,RidgeCountType,A data type for a ridge count between two minutiae (Obsolete),,,CCC,,,FALSE,FALSE,FALSE
4.0,biom,SubjectExistentialDetailsType,modified,,4.1,biom,SubjectExistentialDetailsType,"A data type for an optional field that is particularly useful if the image contained in this record is of an injury or latent image on a person. However, its use is not limited to such circumstances. Note that Field 10.041: SMT size or size of injur",,,CCC,,,FALSE,FALSE,FALSE
4.0,biom,ToothDataInformationType,modified,,4.1,biom,ToothDataInformationType,A data type for a description of the teeth of a subject.,,,CCC,,,FALSE,FALSE,FALSE
4.0,hs,CaseWorkerUnitCodeListCodeSimpleType,modified,,4.1,hs,CaseWorkerUnitCodeListCodeSimpleType,A data type for a kind of a case worker unit.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
4.0,hs,CaseWorkerUnitCodeListCodeType,modified,,4.1,hs,CaseWorkerUnitCodeListCodeType,A data type for a kind of a case worker unit.,,hs:CaseWorkerUnitCodeListCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
4.0,hs,CaseWorkerUnitType,modified,,4.1,hs,CaseWorkerUnitType,A data type for a case worker unit.,nc:OrganizationType,,CCC,,,FALSE,FALSE,FALSE
4.0,j,AlertNotificationType,modified,,4.1,j,AlertNotificationType,A data type for a process or activity of communicating an alert.,em:NotificationType,,CCC,,,FALSE,FALSE,FALSE
4.0,j,DevelopmentalDisabilityType,modified,,4.1,j,DevelopmentalDisabilityType,A data type for any of a diverse group of severe chronic conditions that are due to mental and/or physical impairments.,,,CCC,,,FALSE,FALSE,FALSE
4.0,j,HearingNotificationType,modified,,4.1,j,HearingNotificationType,A data type for a notice of a hearing for all parties concerned.,em:NotificationType,,CCC,,,FALSE,FALSE,FALSE
4.0,j,SubjectReleaseNotificationType,modified,,4.1,j,SubjectReleaseNotificationType,A data type for a set of details for providing notification of a subject's release.,em:NotificationType,,CCC,,,FALSE,FALSE,FALSE
4.0,ndex,OffenseNDExCodeSimpleType,modified,,4.1,ndex,OffenseCodeSimpleType,"A data type for a code that identifies the offense.  Includes all NIBRS and NCIC codes, plus additional codes.",,xs:token,S,atomic,,FALSE,FALSE,FALSE
4.0,ndex,OffenseNDExCodeType,modified,,4.1,ndex,OffenseCodeType,"A data type for a code that identifies the offense.  Includes all NIBRS and NCIC codes, plus additional codes.",,ndex:OffenseCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
4.0,ucr,PropertyLossCodeSimpleType,modified,,4.1,j,ItemStatusCodeSimpleType,A data type for what happens to a property item.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
4.0,ucr,PropertyLossCodeType,modified,,4.1,j,ItemStatusCodeType,A data type for what happens to a property item.,,j:ItemStatusCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,CBEFFCategoryCodeSimpleType,A data type for a code for describing a biometric modality defined by CBEFF,,xs:hexBinary,S,atomic,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,CBEFFCategoryCodeType,A data type for describing a biometric modality defined by CBEFF,,biom:CBEFFCategoryCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,ContextMediaDetailType,A data type for the details of a biometric context media file,,,CCC,,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,CSPCodeSimpleType,A data type for each of the available color spaces for images,,xs:token,S,atomic,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,CSPCodeType,A data type for the available color spaces for images,,biom:CSPCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,Decimal2DigitPrecisionSimpleType,A data type for decimal values with 2 digit after decimal,,xs:decimal,S,atomic,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,Decimal2DigitPrecisionType,A data type of decimal that has a 2 decimal places,,biom:Decimal2DigitPrecisionSimpleType,CSC,,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,DeviceCertificationCodeSimpleType,A data type of code that indicates the conformance testing a product has undergone,,xs:token,S,atomic,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,DeviceCertificationCodeType,A data type for a code that indicates the conformance testing a product has undergone,,biom:DeviceCertificationCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,ExemplarFingerPositionCodeSimpleType,"A data type union of basic finger positions and slap captures, standardly used for tenprint exemplar capture",,,S,union,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,ExemplarFingerPositionCodeType,"A data type for basic finger positions and slap captures, standardly used for tenprint exemplar capture",,biom:ExemplarFingerPositionCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
4.0,,,new,,4.1,biom,ExtendedFeatureSetProfileCodeSimpleType,A data type to describe the level of minutiae mark-up,,xs:token,S,atomic,,FALSE,FALSE,FALSE
