Release,NamespacePrefix,LocalTerm,Literal,Definition
5.0,aamva_d20,AAMVA,American Association of Motor Vehicle Administrators,
5.0,aamva_d20,ACD,AAMVA Code Dictionary,
5.0,aamva_d20,CDL,Commercial Driver's License,
5.0,aamva_d20,CFR,,Code of Federal Regulations
5.0,aamva_d20,CMV,Commercial Motor Vehicle,
5.0,aamva_d20,D20,,Standard for Traffic Records Systems
5.0,aamva_d20,HazMat,Hazardous Materials,
5.0,aamva_d20,HME,Hazardous Material Endorsement,
5.0,aamva_d20,TSA,Transportation Security Administration,
5.0,ag,ACRSI,Acreage and Crop Reporting Streamlining Initiative,
5.0,ag,AIP,Approved Insurance Provider,
5.0,ag,ANSI,American National Standards Institute,
5.0,ag,CLU,Common Land Unit,
5.0,ag,CM,Common Management,
5.0,ag,CVT,Commodity Validation Table,
5.0,ag,FIPS,Federal Information Processing Standards,
5.0,ag,FSA,Farm Service Agency,
5.0,ag,GML,Geography Markup Language,
5.0,ag,INCITS,InterNational Committee for Information Technology Standards,
5.0,ag,MICS,Mobile Implement Control System,
5.0,ag,NRCS,Natural Resources Conservation Service,
5.0,ag,RMA,Risk Management Agency,
5.0,ag,SCIMS,Service Center Information Management System,
5.0,ag,USDA,United States Department of Agriculture,
5.0,ag_codes,CLU,Common land unit,
5.0,ag_codes,CVT,Crop Validation Table,
5.0,ag_codes,FSA,Farm Service Agency,
5.0,ag_codes,NRCS,National Resources Conservation Service,
5.0,ag_codes,RMA,Risk Management Agency,
5.0,biom,3D,Three-dimensional,
5.0,biom,ADA,American Dental Association,
5.0,biom,ANSI,American National Standards Institute,
5.0,biom,autosomal,,Pertaining to a chromosome that is not a sex chromosome.
5.0,biom,AVI,Audio Video Interleaved,
5.0,biom,CBEFF,Common Biometric Exchange Formats Framework,
5.0,biom,Cheiloscopic,,Cheiloscopy is a forensic investigation technique that deals with identification of humans based on lips traces.
5.0,biom,CSP,Color spaces,
5.0,biom,Diarization,,The process of partitioning an input audio stream into homogeneous segments according to the speaker identity.
5.0,biom,DII,Diarization Indicator,
5.0,biom,DNA,Deoxyribonucleic acid,
5.0,biom,DNASTR,Deoxyribonucleic acid short tandem repeat,
5.0,biom,EFS,Extended Feature Set,
5.0,biom,EJI,Entire Joint Image,
5.0,biom,EJIs,Entire Joint Image,
5.0,biom,Electropherogram,,"A record or chart produced when electrophoresis is used in an analytical technique, primarily in the fields of molecular biology or biochemistry."
5.0,biom,FTF,free text field,
5.0,biom,FTO,feature - field occurrence,
5.0,biom,GENC,"Geopolitical Entities, Names, and Codes (GENC) Standard",
5.0,biom,HV,Hypervariable,
5.0,biom,IEC,International Electrotechnical Commission,
5.0,biom,INCITS,InterNational Committee for Information Technology Standards,
5.0,biom,ISO,International Organization for Standardization,
5.0,biom,ITL,Information Technology Laboratory,
5.0,biom,MISC,Miscellaneous,
5.0,biom,Mito,Mitochondrial,
5.0,biom,NCIC,National Crime Information Center,
5.0,biom,NIST,National Institute of Standards and Technology,
5.0,biom,PHD,Photo Capture Date,
5.0,biom,ppi,Pixels per inch,
5.0,biom,ppmm,Pixels per millimeter,
5.0,biom,PUM,Position Uncertainty,
5.0,biom,SBCC,Subject Body Class Code,
5.0,biom,SBSC,Subject Body Status Code,
5.0,biom,SMS,Scar/Mark/Tattoo Size,
5.0,biom,SMT,"Scars, Marks, and Tattoos",
5.0,biom,SPC,Speaker Plurality Code,
5.0,biom,STR,Short tandem repeat,
5.0,biom,TDD,Tooth data detail,
5.0,biom,Tenprint,,"(1) A generic reference to examinations performed on intentionally recorded friction ridge impressions. (2) A controlled recording of an individual’s available fingers using ink, electronic imaging, or other medium."
5.0,biom,TLT,Temporary Line Thickness,
5.0,biom,UTC,Coordinated Universal Time,
5.0,biom,VCD,Vocal content diary,
5.0,biom,VOC,Vocal Content,
5.0,biom,X-STR,Short tandem repeat (STR) on the X-chromosome,
5.0,biom,Y-STR,Short tandem repeat (STR) on the Y-chromosome,
5.0,cbrn,Bio,Biological,
5.0,cbrn,CBP,United States Customs and Border Protection,
5.0,cbrn,CBRNE,"Chemical, Biological, Radiological, Nuclear and high- yield Explosives",
5.0,cbrn,CC,cubic centimeter (cc) units,
5.0,cbrn,Chem,Chemical,
5.0,cbrn,CM,Centimeter,
5.0,cbrn,CPS,Counts per second,
5.0,cbrn,FWHM,Full width at half maximum,
5.0,cbrn,Geo,Geographic,
5.0,cbrn,IDREF,Identifier reference,
5.0,cbrn,IEC,International Electrotechnical Commission,
5.0,cbrn,KeV,Kiloelectronvolts,
5.0,cbrn,kilobecquerel,,A unit of radioactivity equal to one thousand becquerels.
5.0,cbrn,MDA,minimum detectable activity,
5.0,cbrn,MeV,Megaelectron-volt,
5.0,cbrn,microsievert,,"The sievert is the special name for the SI unit of equivalent dose, effective dose, and operational dose quantities. The unit is joule per kilogram.  1 microsievert = 0.000001 sieverts"
5.0,cbrn,microsieverts,,"The sievert is the special name for the SI unit of equivalent dose, effective dose, and operational dose quantities. The unit is joule per kilogram.  1 microsievert = 0.000001 sieverts"
