Release,NamespacePrefix,GlossaryTerm,GlossaryLiteral,GlossaryDefinition
4.1,aamva_d20,CMV,Commercial Motor Vehicle,
4.1,aamva_d20,HazMat,Hazardous Materials,
4.1,ag,ACRSI,Acreage and Crop Reporting Streamlining Initiative,
4.1,ag,AIP,Approved Insurance Provider,
4.1,ag,ANSI,American National Standards Institute,
4.1,ag,CLU,Common Land Unit,
4.1,ag,CM,Common Management,
4.1,ag,CVT,Commodity Validation Table,
4.1,ag,FIPS,Federal Information Processing Standards,
4.1,ag,FSA,Farm Service Agency,
4.1,ag,INCITS,InterNational Committee for Information Technology Standards,
4.1,ag,MICS,Mobile Implement Control System,
4.1,ag,NRCS,Natural Resources Conservation Service,
4.1,ag,RMA,Risk Management Agency,
4.1,ag,SCIMS,Service Center Information Management System,
4.1,ag,USDA,United States Department of Agriculture,
4.1,biom,3D,Three-dimensional,
4.1,biom,ADA,American Dental Association,
4.1,biom,ANSI,American National Standards Institute,
4.1,biom,AVI,Audio Video Interleaved,
4.1,biom,CBEFF,Common Biometric Exchange Formats Framework,
4.1,biom,DNA,Deoxyribonucleic acid,
4.1,biom,DNASTR,Deoxyribonucleic acid short tandem repeat,
4.1,biom,EFS,Extended Feature Set,
4.1,biom,EJI,Entire Joint Image,
4.1,biom,FTF,free text field,
4.1,biom,GENC,"Geopolitical Entities, Names, and Codes (GENC) Standard",
4.1,biom,IEC,International Electrotechnical Commission,
4.1,biom,ISO,International Organization for Standardization,
4.1,biom,MISC,Miscellaneous,
4.1,biom,Mito,Mitochondrial,
4.1,biom,NCIC,"GlossaryLiteral
National Crime Information Center",
4.1,biom,NIST,National Institute of Standards and Technology,
4.1,biom,PHD,Photo Capture Date,
4.1,biom,ppi,Pixels per inch,
4.1,biom,ppmm,Pixels per millimeter,
4.1,biom,PUM,Position Uncertainty,
4.1,biom,SBCC,Subject Body Class Code,
4.1,biom,SBSC,Subject Body Status Code,
4.1,biom,SMS,Scar/Mark/Tattoo Size,
4.1,biom,SMT,"Scars, Marks, and Tattoos",
4.1,biom,SPC,Speaker Plurality Code,
4.1,biom,STR,Short tandem repeat,
4.1,biom,TDD,Tooth data detail,
4.1,biom,UTC,Coordinated Universal Time,
4.1,biom,VCD,Vocal content diary,
4.1,biom,VOC,Vocal Content,
4.1,biom,X-STR,Short tandem repeat (STR) on the X-chromosome,
4.1,biom,Y-STR,Short tandem repeat (STR) on the Y-chromosome,
4.1,cbrn,Bio,Biological,
4.1,cbrn,CBRNE,"Chemical, Biological, Radiological, Nuclear and high- yield Explosives",
4.1,cbrn,CC,cubic centimeter (cc) units,
4.1,cbrn,Chem,Chemical,
4.1,cbrn,CM,Centimeter,
4.1,cbrn,CPS,Counts per second,
4.1,cbrn,FWHM,Full width at half maximum,
4.1,cbrn,Geo,Geographic,
4.1,cbrn,KeV,Kiloelectronvolts,
4.1,cbrn,MDA,minimum detectable activity,
4.1,cbrn,MIME,Multipurpose Internet Mail Extensions,
4.1,cbrn,mR,milliroentgen,
4.1,cbrn,mRh,milliroentgen per hour (mR/h),
4.1,cbrn,n42Doc,N42 XML document,
4.1,cbrn,UID,Unique Identifier,
4.1,cbrn,uSv,microsieverts,
4.1,cbrn,uSvh,microsieverts per hour (uSv/h),
4.1,cbrn,UTF8,UCS Transformation Format—8-bit,
4.1,cbrn,UUID,Universally Unique Identifier,
4.1,cbrn,X,The first dimension,
4.1,cbrn,XY,A two dimensional array or pair of values for a data point,
4.1,cbrncl,GNDA,Global Nuclear Detection Architecture,
4.1,cbrncl,MIME,Multipurpose Internet Mail Extensions,
4.1,cbrncl,UNECE,United Nations Economic Commission for Europe,
4.1,em,Decon,Decontamination,
