originalRelease,originalNamespace,originalPropertyName,changeCode,issue,release,namespace,propertyName,definition,dataType,substitutionGroupHead,elementOrAttribute,concreteOrAbstract,isAbstract
4.0,biom,CBEFFCategoryCode,modified,,4.1,biom,CBEFFCategoryCode,A kind of biometric modality as described by CBEFF,biom:CBEFFCategoryCodeType,,TRUE,,FALSE
4.0,biom,CheiloscopicImageInformation,modified,,4.1,biom,CheiloscopicImageInformation,"A data field that is particularly useful if the image contained in this record is of an injury or latent image on a person. However, its use is not limited to such circumstances. SMT size or size of injury or identifying characteristic / SMS should",biom:CheiloscopicImageInformationType,,TRUE,,FALSE
4.0,biom,CodecExternalReferenceCodeText,modified,,4.1,biom,CodecExternalReferenceCodeText,A kind of code that contains the 'reference code' from the table of codecs available at http://www.nist.gov/itl/iad/ig/ansi_standard.cfm,nc:TextType,,TRUE,,FALSE
4.0,biom,DentalHistoryDataDetail,modified,,4.1,biom,DentalHistoryDataDetail,"A description of the prior dental history of the subject, if known.",biom:DentalHistoryDataInformationType,,TRUE,,FALSE
4.0,biom,DentalVisualImageDataInformation,modified,,4.1,biom,DentalVisualImageDataInformation,An optional field allows the entry of information concerning type-10 images of the mouth.,biom:DentalVisualImageDataInformationType,,TRUE,,FALSE
4.0,biom,DiaryCommentText,modified,,4.1,biom,DiaryCommentText,A comment to contain additional information about the diarization.,nc:TextType,,TRUE,,FALSE
4.0,biom,DiscontinuityInformation,modified,,4.1,biom,DiscontinuityInformation,A description of whether there has been post-recording removal (cutting) of a signal or non-presence of a useful signal from the original recording of the acoustic vocalizations in a way that disrupts time references,biom:AudioInformationType,,TRUE,,FALSE
4.0,biom,DNASample,modified,,4.1,biom,DNASample,"A representation or an encoding of the DNA data of a biological sample. This may be the biological sample from a person (e.g. sample from an insurgent), or a mixed biological sample that may contain biological material from the person of interest (e",biom:DNASampleType,biom:BiometricDetailAbstract,TRUE,,FALSE
4.0,biom,EFSTemporaryLine,modified,,4.1,biom,EFSTemporaryLine,"A latent examiner to annotate a friction ridge image with temporary lines, generally for use as reference points in making a comparison. These lines are solely for the individual examiner's use and reference _ there is no implied semantics thro",biom:EFSTemporaryLineType,,TRUE,,FALSE
4.0,biom,FaceImageBoundary,modified,,4.1,biom,FaceImageBoundary,"A polygon, ellipse, or circle containing a face image in a larger picture",biom:FaceImageBoundaryType,,TRUE,,FALSE
4.0,biom,FeatureColorFieldReferencedCode,modified,,4.1,biom,FeatureColorFieldReferencedCode,"A data for one or both of the third or fourth information items shall be present in each subfield. The first two information items are mandatory. The first information item, feature - field number / FTF, indicates the field which is annotated with c",biom:EFSFieldNumberCodeType,,TRUE,,FALSE
4.0,biom,FeatureColorHexidecimalValue,modified,,4.1,biom,FeatureColorHexidecimalValue,"A third information item, feature _ color / FTC, is an RGB color value expressed as a hexadecimal number.Some basic colors are red (FF0000), yellow (FFFF00), blue (0000FF), green (008000), black (000000) and white (FFFFFF). Leading zeros are require",biom:HexTripleByteType,,TRUE,,FALSE
