originalRelease,originalNamespace,originalTypeName,changeCode,issue,release,namespace,typeName,definition,parentType,baseType,contentStyle,simpleStyle,isAssociation,isAugmentation,isAdapter,isMetadata
4.2,ag,AcreageSubmissionFileType,edit,,5.0,ag,AcreageSubmissionFileType,"A data type containing the entire set of the crops planted on a farm, itemized down to the acreage of individual fields and subfields and the individual producer stakeholders.",,,CCC,,,FALSE,FALSE,FALSE
4.2,ag_codes,CLUIDSimpleType,edit,,5.0,ag_codes,CLUIDSimpleType,A data type for system-generated internal identifier of a common land unit (CLU). This identifier is for internal access use only.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
4.2,ag_codes,CropYearSimpleType,edit,,5.0,ag_codes,CropYearSimpleType,A data type to indicate a period of time (in year) within which the crop is normally grown and designated by the calendar year in which the crop is normally harvested.,,xs:integer,S,atomic,,FALSE,FALSE,FALSE
4.2,ag_codes,FarmNumberIDSimpleType,edit,,5.0,ag_codes,FarmNumberIDSimpleType,A data type for identification number assigned to all land under control of a particular operator within a particular county.,,xs:integer,S,atomic,,FALSE,FALSE,FALSE
4.2,ag_codes,FieldNumberIDSimpleType,edit,,5.0,ag_codes,FieldNumberIDSimpleType,A data type for identification number assigned to a field of land that is part of a farm tract.,,xs:integer,S,atomic,,FALSE,FALSE,FALSE
4.2,ag_codes,IrrigationPracticeCodeSimpleType,edit,,5.0,ag_codes,IrrigationPracticeCodeSimpleType,A data type containing the irrigation practice code used for a unit of land with a crop.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
4.2,ag_codes,OrganicPracticeCategoryCodeSimpleType,edit,,5.0,ag_codes,OrganicPracticeCategoryCodeSimpleType,A data type containing certification codes used for farm acreage in regards to a system/plan of production and handling practice to produce an organic commodity.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
4.2,ag_codes,OriginatorIdentificationIDSimpleType,edit,,5.0,ag_codes,OriginatorIdentificationIDSimpleType,A data type for identifying the entity responsible for originating/publishing data.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
4.2,ag_codes,ProductPlantingCodeSimpleType,edit,,5.0,ag_codes,ProductPlantingCodeSimpleType,A data type for code to identify the planting of a product/crop as either conventional (planted as normal or no planting required) or unconventional/irregular in a predefined way.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
4.2,ag_codes,SubfieldNumberSimpleType,edit,,5.0,ag_codes,SubfieldNumberSimpleType,"A data type for alpha number that is used to uniquely identify a subfield within a field, within a tract within a farm within a state and county.",,xs:string,S,atomic,,FALSE,FALSE,FALSE
