originalRelease,originalNamespace,originalPropertyName,changeCode,issue,release,namespace,propertyName,definition,dataType,substitutionGroupHead,elementOrAttribute,concreteOrAbstract,isAbstract
4.2,ag,AdministrativeCountyFSACode,edit,,5.0,ag,AdministrativeCountyFSACode,A county code of the administering county office.,usda_fsa:AdministrativeCountyFSACodeType,,TRUE,,FALSE
4.2,ag,AdministrativeStateFSACode,edit,,5.0,ag,AdministrativeStateFSACode,A state code of administering state office.,usda_fsa:AdministrativeStateFSACodeType,,TRUE,,FALSE
4.2,ag,CLUID,edit,,5.0,ag,CLUID,A system-generated internal identifier of a common land unit (CLU).,ag_codes:CLUIDType,,TRUE,,FALSE
4.2,ag,CropYearValue,edit,,5.0,ag,CropYearValue,A period of time (in year) within which the crop is normally grown and designated by the calendar year in which the crop is normally harvested.,ag_codes:CropYearType,,TRUE,,FALSE
4.2,ag,CustomerInterAgencyIdentificationID,edit,,5.0,ag,CustomerInterAgencyIdentificationID,"A system generated, unique internal identifier used between agencies to identify a USDA customer (individual or business).",niem-xs:string,,TRUE,,FALSE
4.2,ag,FarmCropAcreageAugmentationPoint,edit,,5.0,ag,FarmCropAcreageAugmentationPoint,An augmentation point for FarmCropAcreageType.,,,TRUE,,TRUE
4.2,ag,FarmNumberID,edit,,5.0,ag,FarmNumberID,An identifier assigned to all land under control of a particular operator within a particular county.,ag_codes:FarmNumberIDType,,TRUE,,FALSE
4.2,ag,FieldCropAcreageAugmentationPoint,edit,,5.0,ag,FieldCropAcreageAugmentationPoint,An augmentation point for FieldCropAcreageType.,,,TRUE,,TRUE
4.2,ag,FieldNumberID,edit,,5.0,ag,FieldNumberID,An identifier number assigned to a field of land that is part of a farm tract.,ag_codes:FieldNumberIDType,,TRUE,,FALSE
4.2,ag,OriginatorIdentificationID,edit,,5.0,ag,OriginatorIdentificationID,An identifier of the entity responsible for originating/publishing data.,ag_codes:OriginatorIdentificationIDType,,TRUE,,FALSE
4.2,ag,ProducerSharePercent,edit,,5.0,ag,ProducerSharePercent,"A Producer's share of a crop and the benefits coming from that crop, expressed as a percentage.",nc:PercentType,,TRUE,,FALSE
4.2,ag,TaxIdentificationID,edit,,5.0,ag,TaxIdentificationID,"A tax identifier assigned to a specific individual, business or other entity and is used to authenticate the individual/entity for matters of taxation and other federal government business.",ag_codes:TaxIdentificationIDType,,TRUE,,FALSE
4.2,ag,TractCropAcreageAugmentationPoint,edit,,5.0,ag,TractCropAcreageAugmentationPoint,An augmentation point for TractCropAcreageType.,,,TRUE,,TRUE
4.2,ag,TractNumberID,edit,,5.0,ag,TractNumberID,An identifier assigned to a unit of contiguous land that is under one ownership and that is operated as a farm or part of a farm. An owner is a person or business having deed to the land.,ag_codes:TractNumberIDType,,TRUE,,FALSE
4.2,biom,AssociatedContextAugmentationPoint,edit,,5.0,biom,AssociatedContextAugmentationPoint,An augmentation point for AssociatedContextType.,,,TRUE,,TRUE
4.2,biom,AssuranceLogEntryAugmentationPoint,edit,,5.0,biom,AssuranceLogEntryAugmentationPoint,An augmentation point for AssuranceLogEntryType.,,,TRUE,,TRUE
4.2,biom,AudioInformationAugmentationPoint,edit,,5.0,biom,AudioInformationAugmentationPoint,An augmentation point for AudioInformationType.,,,TRUE,,TRUE
4.2,biom,AudioSourceRecorderAugmentationPoint,edit,,5.0,biom,AudioSourceRecorderAugmentationPoint,An augmentation point for AudioSourceRecorderType.,,,TRUE,,TRUE
4.2,biom,BiometricCoordinate,edit,,5.0,biom,BiometricCoordinate,A service used to determine the biometric coordinate.,biom:BiometricCoordinateType,,TRUE,,FALSE
4.2,biom,BiometricCoordinateIdentification,edit,,5.0,biom,BiometricCoordinateIdentification,An identification for representing the biometric coordinate.,nc:IdentificationType,,TRUE,,FALSE
4.2,biom,CBEFFImageAugmentationPoint,edit,,5.0,biom,CBEFFImageAugmentationPoint,An augmentation point for CBEFFImageType.,,,TRUE,,TRUE
4.2,biom,CheiloscopicImageInformationAugmentationPoint,edit,,5.0,biom,CheiloscopicImageInformationAugmentationPoint,An augmentation point for CheiloscopicImageInformationType.,,,TRUE,,TRUE
4.2,biom,CodecDetailsAugmentationPoint,edit,,5.0,biom,CodecDetailsAugmentationPoint,An augmentation point for CodecDetailsType.,,,TRUE,,TRUE
4.2,biom,ContentDiaryInformationAugmentationPoint,edit,,5.0,biom,ContentDiaryInformationAugmentationPoint,An augmentation point for ContentDiaryInformationType.,,,TRUE,,TRUE
4.2,biom,ContentInformationAugmentationPoint,edit,,5.0,biom,ContentInformationAugmentationPoint,An augmentation point for ContentInformationType.,,,TRUE,,TRUE
4.2,biom,ContentRecordSummaryAugmentationPoint,edit,,5.0,biom,ContentRecordSummaryAugmentationPoint,An augmentation point for ContentRecordSummaryType.,,,TRUE,,TRUE
4.2,biom,ContextFileFormatAugmentationPoint,edit,,5.0,biom,ContextFileFormatAugmentationPoint,An augmentation point for ContextFileFormatType.,,,TRUE,,TRUE
4.2,biom,ContextMediaDetailAugmentationPoint,edit,,5.0,biom,ContextMediaDetailAugmentationPoint,An augmentation point for ContextMediaDetailType.,,,TRUE,,TRUE
4.2,biom,DentalEncodingSystemInformationAugmentationPoint,edit,,5.0,biom,DentalEncodingSystemInformationAugmentationPoint,An augmentation point for DentalEncodingSystemInformationType.,,,TRUE,,TRUE
4.2,biom,DentalHistoryDataInformationAugmentationPoint,edit,,5.0,biom,DentalHistoryDataInformationAugmentationPoint,An augmentation point for DentalHistoryDataInformationType.,,,TRUE,,TRUE
4.2,biom,DentalRadiographImageInformationAugmentationPoint,edit,,5.0,biom,DentalRadiographImageInformationAugmentationPoint,An augmentation point for DentalRadiographImageInformationType.,,,TRUE,,TRUE
4.2,biom,DentalStudyToothImprintInformationAugmentationPoint,edit,,5.0,biom,DentalStudyToothImprintInformationAugmentationPoint,An augmentation point for DentalStudyToothImprintInformationType.,,,TRUE,,TRUE
4.2,biom,DentalSubjectInformationAugmentationPoint,edit,,5.0,biom,DentalSubjectInformationAugmentationPoint,An augmentation point for DentalSubjectInformationType.,,,TRUE,,TRUE
4.2,biom,DentalVisualImageDataInformationAugmentationPoint,edit,,5.0,biom,DentalVisualImageDataInformationAugmentationPoint,An augmentation point for DentalVisualImageDataInformationType.,,,TRUE,,TRUE
4.2,biom,DeviceAugmentationPoint,edit,,5.0,biom,DeviceAugmentationPoint,An augmentation point for DeviceType.,,,TRUE,,TRUE
4.2,biom,DiaryDetailAugmentationPoint,edit,,5.0,biom,DiaryDetailAugmentationPoint,An augmentation point for DiaryDetailType.,,,TRUE,,TRUE
4.2,biom,DiaryDetailListAugmentationPoint,edit,,5.0,biom,DiaryDetailListAugmentationPoint,An augmentation point for DiaryDetailListType.,,,TRUE,,TRUE
4.2,biom,DiaryInformationAugmentationPoint,edit,,5.0,biom,DiaryInformationAugmentationPoint,An augmentation point for DiaryInformationType.,,,TRUE,,TRUE
4.2,biom,DigitalMediaContainerAugmentationPoint,edit,,5.0,biom,DigitalMediaContainerAugmentationPoint,An augmentation point for DigitalMediaContainerType.,,,TRUE,,TRUE
4.2,biom,DNADonorAugmentationPoint,edit,,5.0,biom,DNADonorAugmentationPoint,An augmentation point for DNADonorType.,,,TRUE,,TRUE
4.2,biom,DNAElectropherogramAugmentationPoint,edit,,5.0,biom,DNAElectropherogramAugmentationPoint,An augmentation point for DNAElectropherogramType.,,,TRUE,,TRUE
4.2,biom,DNAElectropherogramScreenshotImage,edit,,5.0,biom,DNAElectropherogramScreenshotImage,An image of screenshot of a DNA electropherogram,nc:ImageType,biom:BiometricImageAbstract,TRUE,,FALSE
4.2,biom,DNAGenotypeAllelePairAugmentationPoint,edit,,5.0,biom,DNAGenotypeAllelePairAugmentationPoint,An augmentation point for DNAGenotypeAllelePairType.,,,TRUE,,TRUE
4.2,biom,DNAKitAugmentationPoint,edit,,5.0,biom,DNAKitAugmentationPoint,An augmentation point for DNAKitType.,,,TRUE,,TRUE
4.2,biom,DNALaboratoryAccreditationAugmentationPoint,edit,,5.0,biom,DNALaboratoryAccreditationAugmentationPoint,An augmentation point for DNALaboratoryAccreditationType.,,,TRUE,,TRUE
4.2,biom,DNALaboratoryAugmentationPoint,edit,,5.0,biom,DNALaboratoryAugmentationPoint,An augmentation point for DNALaboratoryType.,,,TRUE,,TRUE
4.2,biom,DNAMitochondrialDataAugmentationPoint,edit,,5.0,biom,DNAMitochondrialDataAugmentationPoint,An augmentation point for DNAMitochondrialDataType.,,,TRUE,,TRUE
4.2,biom,DNAProfileAugmentationPoint,edit,,5.0,biom,DNAProfileAugmentationPoint,An augmentation point for DNAProfileType.,,,TRUE,,TRUE
4.2,biom,DNASampleAugmentationPoint,edit,,5.0,biom,DNASampleAugmentationPoint,An augmentation point for DNASampleType.,,,TRUE,,TRUE
4.2,biom,DNASampleOriginAugmentationPoint,edit,,5.0,biom,DNASampleOriginAugmentationPoint,An augmentation point for DNASampleOriginType.,,,TRUE,,TRUE
4.2,biom,DNASTRProfileAugmentationPoint,edit,,5.0,biom,DNASTRProfileAugmentationPoint,An augmentation point for DNASTRProfileType.,,,TRUE,,TRUE
4.2,biom,EFSFeatureColorAugmentationPoint,edit,,5.0,biom,EFSFeatureColorAugmentationPoint,An augmentation point for EFSFeatureColorType.,,,TRUE,,TRUE
4.2,biom,EFSMinutiaAugmentationPoint,edit,,5.0,biom,EFSMinutiaAugmentationPoint,An augmentation point for EFSMinutiaType.,,,TRUE,,TRUE
4.2,biom,EFSRidgeCountItemAugmentationPoint,edit,,5.0,biom,EFSRidgeCountItemAugmentationPoint,An augmentation point for EFSRidgeCountItemType.,,,TRUE,,TRUE
4.2,biom,EFSTemporaryLine,edit,,5.0,biom,EFSTemporaryLine,"A latent examiner to annotate a friction ridge image with temporary lines, generally for use as reference points in making a comparison. These lines are solely for the individual examiner's use and reference _ there is no implied semantics",biom:EFSTemporaryLineType,,TRUE,,FALSE
4.2,biom,EFSTemporaryLineAugmentationPoint,edit,,5.0,biom,EFSTemporaryLineAugmentationPoint,An augmentation point for EFSTemporaryLineType.,,,TRUE,,TRUE
4.2,biom,ExtendedFeatureSetMinutiaeAugmentationPoint,edit,,5.0,biom,ExtendedFeatureSetMinutiaeAugmentationPoint,An augmentation point for ExtendedFeatureSetMinutiaeType.,,,TRUE,,TRUE
4.2,biom,FaceImage3DFeaturePointAugmentationPoint,edit,,5.0,biom,FaceImage3DFeaturePointAugmentationPoint,An augmentation point for FaceImage3DFeaturePointType.,,,TRUE,,TRUE
4.2,biom,FaceImageAcquisitionAugmentationPoint,edit,,5.0,biom,FaceImageAcquisitionAugmentationPoint,An augmentation point for FaceImageAcquisitionType.,,,TRUE,,TRUE
4.2,biom,FaceImageAttributeAugmentationPoint,edit,,5.0,biom,FaceImageAttributeAugmentationPoint,An augmentation point for FaceImageAttributeType.,,,TRUE,,TRUE
4.2,biom,FaceImageAugmentationPoint,edit,,5.0,biom,FaceImageAugmentationPoint,An augmentation point for FaceImageType.,,,TRUE,,TRUE
4.2,biom,FaceImageBoundaryAugmentationPoint,edit,,5.0,biom,FaceImageBoundaryAugmentationPoint,An augmentation point for FaceImageBoundaryType.,,,TRUE,,TRUE
4.2,biom,FaceImageBoundingSquareAugmentationPoint,edit,,5.0,biom,FaceImageBoundingSquareAugmentationPoint,An augmentation point for FaceImageBoundingSquareType.,,,TRUE,,TRUE
4.2,biom,FaceImageContourAugmentationPoint,edit,,5.0,biom,FaceImageContourAugmentationPoint,An augmentation point for FaceImageContourType.,,,TRUE,,TRUE
4.2,biom,FaceImageFeaturePointAugmentationPoint,edit,,5.0,biom,FaceImageFeaturePointAugmentationPoint,An augmentation point for FaceImageFeaturePointType.,,,TRUE,,TRUE
4.2,biom,FaceImageOcclusionAugmentationPoint,edit,,5.0,biom,FaceImageOcclusionAugmentationPoint,An augmentation point for FaceImageOcclusionType.,,,TRUE,,TRUE
4.2,biom,FeatureColorFieldOccurenceReferencedValue,edit,,5.0,biom,FeatureColorFieldOccurrenceReferencedValue,"A second information item, feature _ field occurrence / FTO, indicates which repeating subfield of the specified field the label is applied to. Note that this is a 1-based index, not a 0-based index. Occurrences are numbered starting with 1.",niem-xs:positiveInteger,,TRUE,,FALSE
4.2,biom,FeatureColorHexidecimalValue,edit,,5.0,biom,FeatureColorHexadecimalValue,"A third information item, feature _ color / FTC, is an RGB color value expressed as a hexadecimal number.Some basic colors are red (FF0000), yellow (FFFF00), blue (0000FF), green (008000), black (000000) and white (FFFFFF). Leading zeros are require",biom:HexTripleByteType,,TRUE,,FALSE
4.2,biom,FingerImpressionImageDetailAugmentationPoint,edit,,5.0,biom,FingerImpressionImageDetailAugmentationPoint,An augmentation point for FingerImpressionImageDetailType.,,,TRUE,,TRUE
4.2,biom,FingerprintCoordinateAugmentationPoint,edit,,5.0,biom,FingerprintCoordinateAugmentationPoint,An augmentation point for FingerprintCoordinateType.,,,TRUE,,TRUE
4.2,biom,FingerprintDeltaLocationAugmentationPoint,edit,,5.0,biom,FingerprintDeltaLocationAugmentationPoint,An augmentation point for FingerprintDeltaLocationType.,,,TRUE,,TRUE
4.2,biom,FingerprintFeatureLocationAugmentationPoint,edit,,5.0,biom,FingerprintFeatureLocationAugmentationPoint,An augmentation point for FingerprintFeatureLocationType.,,,TRUE,,TRUE
4.2,biom,FingerprintImageAugmentationPoint,edit,,5.0,biom,FingerprintImageAugmentationPoint,An augmentation point for FingerprintImageType.,,,TRUE,,TRUE
4.2,biom,FingerprintImageFingerMissingAugmentationPoint,edit,,5.0,biom,FingerprintImageFingerMissingAugmentationPoint,An augmentation point for FingerprintImageFingerMissingType.,,,TRUE,,TRUE
4.2,biom,FingerprintImageFingerprintOrientationAugmentationPoint,edit,,5.0,biom,FingerprintImageFingerprintOrientationAugmentationPoint,An augmentation point for FingerprintImageFingerprintOrientationType.,,,TRUE,,TRUE
4.2,biom,FingerprintImageMajorCasePrintAugmentationPoint,edit,,5.0,biom,FingerprintImageMajorCasePrintAugmentationPoint,An augmentation point for FingerprintImageMajorCasePrintType.,,,TRUE,,TRUE
4.2,biom,FingerprintImageNISTQualityAugmentationPoint,edit,,5.0,biom,FingerprintImageNISTQualityAugmentationPoint,An augmentation point for FingerprintImageNISTQualityType.,,,TRUE,,TRUE
4.2,biom,FingerprintImageQualityAugmentationPoint,edit,,5.0,biom,FingerprintImageQualityAugmentationPoint,An augmentation point for FingerprintImageQualityType.,,,TRUE,,TRUE
4.2,biom,FingerprintImageSegmentPositionPolygonAugmentationPoint,edit,,5.0,biom,FingerprintImageSegmentPositionPolygonAugmentationPoint,An augmentation point for FingerprintImageSegmentPositionPolygonType.,,,TRUE,,TRUE
4.2,biom,FingerprintImageSegmentPositionSquareAugmentationPoint,edit,,5.0,biom,FingerprintImageSegmentPositionSquareAugmentationPoint,An augmentation point for FingerprintImageSegmentPositionSquareType.,,,TRUE,,TRUE
4.2,biom,FingerprintPatternClassificationAugmentationPoint,edit,,5.0,biom,FingerprintPatternClassificationAugmentationPoint,An augmentation point for FingerprintPatternClassificationType.,,,TRUE,,TRUE
4.2,biom,FingerprintPositionListAugmentationPoint,edit,,5.0,biom,FingerprintPositionListAugmentationPoint,An augmentation point for FingerprintPositionListType.,,,TRUE,,TRUE
