originalRelease,originalNamespace,originalPropertyName,changeCode,issue,release,namespace,propertyName,definition,dataType,substitutionGroupHead,elementOrAttribute,concreteOrAbstract,isAbstract
4.1,biom,DNAPedigree,edit,43,4.2,biom,Pedigree,A description of biological lineage among individuals (members).,biom:PedigreeType,,TRUE,,FALSE
4.1,biom,DNAPedigreeAugmentationPoint,edit,43,4.2,biom,PedigreeAugmentationPoint,An augmentation point for Pedigree.,,,TRUE,,TRUE
4.1,biom,DNAPedigreeCommentText,edit,43,4.2,biom,PedigreeCommentText,A descriptive comment about a pedigree.,nc:TextType,,TRUE,,FALSE
4.1,biom,DNAPedigreeFatherIndexNumeric,edit,43,4.2,biom,PedigreeFatherIndexNumeric,An index number that refers to the father of the subject of this pedigree.,biom:Integer0to999Type,,TRUE,,FALSE
4.1,biom,DNAPedigreeID,edit,43,4.2,biom,PedigreeID,"An identifier (i.e., file number) of a pedigree.",nc:TextType,,TRUE,,FALSE
4.1,biom,DNAPedigreeMemberIndexNumeric,edit,43,4.2,biom,PedigreeMemberIndexNumeric,An index that refers to the subject of the transaction and provides the ability to link pedigree information.,nc:TextType,,TRUE,,FALSE
4.1,biom,DNAPedigreeMemberStatusCode,edit,43,4.2,biom,PedigreeMemberStatusCode,A status of a subject of a pedigree.,biom:PedigreeMemberStatusCodeType,,TRUE,,FALSE
4.1,biom,DNAPedigreeMotherIndexNumeric,edit,43,4.2,biom,PedigreeMotherIndexNumeric,An index number that refers to the mother of a subject of this pedigree.,biom:Integer0to999Type,,TRUE,,FALSE
4.1,biom,DNAPedigreeSampleID,edit,43,4.2,biom,PedigreeDNASampleID,An identifier for a DNA sample linking it to this related pedigree.,nc:TextType,,TRUE,,FALSE
4.1,biom,FingerprintPatternGeneralClassCode,edit,40,4.2,biom,FingerprintPatternGeneralClassCode,A class of fingerprint pattern used by most automated fingerprint information systems,biom:FingerprintPatternGeneralClassCodeType,biom:FingerprintPatternGeneralClassAbstract,TRUE,,FALSE
4.1,biom,FingerprintPatternSubClassCode,edit,40,4.2,biom,FingerprintPatternSubClassCode,A subclass of fingerprint pattern that is an arch or whorl,biom:FingerprintPatternSubClassCodeType,biom:FingerprintPatternSubClassAbstract,TRUE,,FALSE
4.1,biom,PhysicalFeatureCategoryCode,edit,28,4.2,biom,PhysicalFeatureCategoryCode,A specific kind of physical feature,biom:PhysicalFeatureCategoryCodeType,nc:PhysicalFeatureCategoryAbstract,TRUE,,FALSE
4.1,im,BookInOfficer,edit,31,4.2,im,BookInOfficer,A Department of Homeland Security (DHS) Immigration and Customs Enforcement (ICE) Employee who books in an alien.,im:ICEEmployeeType,,TRUE,,FALSE
4.1,im,BookOutOfficer,edit,31,4.2,im,BookOutOfficer,A Department of Homeland Security (DHS) Immigration and Customs Enforcement (ICE) Employee who books out an alien.,im:ICEEmployeeType,,TRUE,,FALSE
4.1,im,SearchOfficer,edit,31,4.2,im,SearchOfficer,A Department of Homeland Security (DHS) Immigration and Customs Enforcement (ICE) Employee who searches an alien during booking.,im:ICEEmployeeType,,TRUE,,FALSE
4.1,j,ItemCategoryNCICTYPACode,edit,20,4.2,j,ItemCategoryCode,A kind of item.,ncic:TYPACodeType,nc:ItemCategoryAbstract,TRUE,,FALSE
4.1,j,ItemPropertyCategoryFBICode,edit,39,4.2,j,ItemCategoryNDExCode,A kind of property item.,ndex:ItemCategoryCodeType,nc:ItemCategoryAbstract,TRUE,,FALSE
4.1,j,NIBRSReportCategoryCode,edit,39,4.2,j,NIBRSReportCategoryCode,A kind of report contained in the NIBRS extracted data item.,ucr:NIBRSReportCategoryCodeType,,TRUE,,FALSE
4.1,j,PersonBirthplaceCode,edit,38,4.2,j,PersonBirthplaceCode,A country of a person's birth.,ncic:CountryCodeType,j:PersonBirthplaceAbstract,TRUE,,FALSE
4.1,j,PersonPrenatalAgeUnitCode,edit,39,4.2,j,PersonAgePrenatalUnitCode,A unit of measure of the age of an unborn child.,ndex:PrenatalAgeUnitCodeType,nc:TimeUnitAbstract,TRUE,,FALSE
4.1,j,VehicleStyleNDExCode,edit,39,4.2,j,VehicleStyleNDExCode,A general style of vehicle.,ndex:VSTCategoryCodeType,nc:ItemStyleAbstract,TRUE,,FALSE
4.1,j,WarrantCategoryText,edit,39,4.2,j,WarrantCategoryText,A kind of warrant.,nc:TextType,j:WarrantCategoryAbstract,TRUE,,FALSE
4.1,,,add,40,4.2,biom,FingerprintPatternGeneralClassAbstract,A data concept for a class of fingerprint pattern used by most automated fingerprint information systems.,,,TRUE,,TRUE
4.1,,,add,40,4.2,biom,FingerprintPatternSubClassAbstract,A data concept for a subclass of fingerprint pattern that is an arch or whorl.,,,TRUE,,TRUE
4.1,,,add,43,4.2,biom,PedigreeAnalysisResolution,A set of information about a resolution/decision from analyzing a pedigree.,biom:PedigreeAnalysisResolutionType,,TRUE,,FALSE
4.1,,,add,43,4.2,biom,PedigreeAnalysisResolutionAugmentationPoint,An augmentation point for type biom:PedigreeAnalysisResolutionType,,,TRUE,,TRUE
4.1,,,add,43,4.2,biom,PedigreeResolutionDate,A date of a resolution/decision from analyzing a pedigree.,nc:DateType,,TRUE,,FALSE
4.1,,,add,43,4.2,biom,PedigreeResolutionText,A resolution/decision from analyzing a pedigree.,nc:TextType,,TRUE,,FALSE
4.1,,,add,34,4.2,biom,PersonAugmentation,Additional information about a person.,biom:PersonAugmentationType,nc:PersonAugmentationPoint,TRUE,,FALSE
4.1,,,add,42,4.2,em,ActivityAugmentation,Additional information about an activity.,em:ActivityAugmentationType,nc:ActivityAugmentationPoint,TRUE,,FALSE
4.1,,,add,42,4.2,em,ActivityEarlyResponseTriggerText,A condition that would trigger an early response for an activity.,nc:TextType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,ActivityLocation,A location of an activity,nc:LocationType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,ActivityResponseCoordination,A set of information about the coordination of a response to an activity or event.,em:ActivityResponseCoordinationType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,ActivityResponseCoordinationAugmentationPoint,An augmentation point for type em:ActivityResponseCoordinationType,,,TRUE,,TRUE
4.1,,,add,42,4.2,em,ActivityResponsePartner,An organization involved as a partner in a response to an activity.,nc:OrganizationType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,ActivityTerminationConditionText,A condition that would terminate an activity.,nc:TextType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,AssessmentAugmentation,Additional information about an assessment.,em:AssessmentAugmentationType,nc:AssessmentAugmentationPoint,TRUE,,FALSE
4.1,,,add,42,4.2,em,AssessmentReport,A report that documents an assessment.,nc:DocumentType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,AssessmentReportText,A set of results from an assessment.,nc:TextType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,ChiefOfStaff,"A senior staff officer of a service, command, or organization.",nc:PersonType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,CommunicationTargetGroupAbstract,A data concept for a kind of group target for a communication.,,,TRUE,,TRUE
4.1,,,add,42,4.2,em,CommunicationTargetGroupCode,A kind of group target for a communication.,em:CommunicationTargetGroupCodeType,em:CommunicationTargetGroupAbstract,TRUE,,FALSE
4.1,,,add,42,4.2,em,CommunicationTargetGroupText,A kind of group target for a communication.,nc:TextType,em:CommunicationTargetGroupAbstract,TRUE,,FALSE
4.1,,,add,42,4.2,em,CommunicationTargetRegionAbstract,"A data concept for a region that is targeted or covered for an alert, warning, or other type of public communication.",,,TRUE,,TRUE
4.1,,,add,42,4.2,em,CommunicationTargetRegionText,"A region that is targeted or covered for an alert, warning, or other type of public communication.",nc:TextType,em:CommunicationTargetRegionAbstract,TRUE,,FALSE
4.1,,,add,42,4.2,em,Countermeasure,"A countermeasure, including biologics, drugs, and devices, that may be used in a public health emergency to protect against chemical, biological, radiological, and nuclear threats.",nc:ActivityType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,CountermeasureOperations,An operation taken to counteract a public health emergency operations center (EOC) event or incident.,em:CountermeasureOperationsType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,CountermeasureOperationsAugmentationPoint,An augmentation point for type em:CountermeasureOperationsType,,,TRUE,,TRUE
4.1,,,add,42,4.2,em,CountermeasureOperationsReport,A report detailing countermeasure operations.,nc:DocumentType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,Decision,An activation or deactivating decision.,em:DecisionType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,DecisionActivityActivationCode,A decision as to whether an activity should be activated or deactivated.,em:ActivityActivationCodeType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,DecisionAugmentationPoint,An augmentation point for type em:DecisionType,,,TRUE,,TRUE
4.1,,,add,42,4.2,em,DocumentAssignee,A person responsible for generating or developing a document.,nc:PersonType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,DocumentAugmentation,Additional information about a document.,em:DocumentAugmentationType,nc:DocumentAugmentationPoint,TRUE,,FALSE
4.1,,,add,42,4.2,em,DocumentCoverageDateRange,A period of time covered by a document.,nc:DateRangeType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,DocumentNextDueDate,A due date for the next report.,nc:DateType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,DocumentReportFrequencyAbstract,A data concept for a frequency or period for which a recurring document is published.,,,TRUE,,TRUE
4.1,,,add,42,4.2,em,DocumentReportFrequencyCode,A frequency or period for which a recurring document is published.,em:DocumentReportFrequencyCodeType,em:DocumentReportFrequencyAbstract,TRUE,,FALSE
4.1,,,add,42,4.2,em,DocumentReportFrequencyText,A frequency or period for which a recurring document is published.,nc:TextType,em:DocumentReportFrequencyAbstract,TRUE,,FALSE
4.1,,,add,42,4.2,em,DocumentTemplateCategoryAbstract,A data concept for a kind of template for a document.,,,TRUE,,TRUE
4.1,,,add,42,4.2,em,DocumentTemplateCategoryCode,A kind of template for a document.,em:DocumentTemplateCategoryCodeType,em:DocumentTemplateCategoryAbstract,TRUE,,FALSE
4.1,,,add,42,4.2,em,DocumentTemplateCategoryText,A kind of template for a document.,nc:TextType,em:DocumentTemplateCategoryAbstract,TRUE,,FALSE
4.1,,,add,42,4.2,em,DocumentText,A text or contents of a document.,nc:TextType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EmergencyManagmentIncidentCategoryCode,"A kind of emergency management (EM) incident, such as chemical, biological, nuclear, explosives, natural disaster, or day-to-day.",em:EmergencyManagmentIncidentCategoryCodeType,em:PublicHealthEventCategoryAbstract,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventCumulativeCasesQuantity,"A number of cases in total, equal to the sum of the daily new cases.",nc:QuantityType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventEmergencyDepartmentVisitsStatusText,"A status of emergency department visits for an event, such as whether number of visits have increased or decreased compared to a previous reporting periods. The analysis may also include the the number of daily visits and the type of visits.",nc:TextType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventEpidemiologicalInvestigationText,"A set of information about the cause of an outbreak or incident as well as an interpretation of epidemiological data, findings from laboratory tests performed on environmental or clinical specimens, and recommendations for future actions.",nc:TextType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventEtiologyText,A determined cause (e.g. salmonella) of a public health event (e.g. foodborne disease outbreak).,nc:TextType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventFatalityAssessmentDate,A date of the fatality assessment.,nc:DateType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventFatalityCauseText,An analysis of the causes of deaths during an incident or event.,nc:TextType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventFatalityQuantity,A number of deaths that occurred during an incident or event.,nc:QuantityType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventImpactLevelAbstract,"A data concept for a level of impact (i.e., minimal, minor, moderate, major, severe) of an event based on the amount of disruption to normal activities and services.",,,TRUE,,TRUE
4.1,,,add,42,4.2,em,EventImpactLevelCode,"A level of impact (i.e., minimal, minor, moderate, major, severe) of an event based on the amount of disruption to normal activities and services.",em:EventImpactLevelCodeType,em:EventImpactLevelAbstract,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventImpactLevelText,"A level of impact (i.e., minimal, minor, moderate, major, severe) of an event based on the amount of disruption to normal activities and services.",nc:TextType,em:EventImpactLevelAbstract,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventIMSActivationDate,A date when an incident management system was activated for an incident.,nc:DateType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventInvestigation,An investigation of a public health event.,em:EventInvestigationType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventInvestigationAugmentationPoint,An augmentation point for type em:EventInvestigationType,,,TRUE,,TRUE
4.1,,,add,42,4.2,em,EventMeanDailyReportedNewCasesQuantity,A mean number of new cases per day in a reporting period.,nc:QuantityType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventPopulationConfirmedNegativeDiagnosisQuantity,"A total number of people in a defined population that have a confirmed negative diagnosis, typically based on laboratory tests.",nc:QuantityType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventPopulationConfirmedPositiveDiagnosisQuantity,"A total number of people in a defined population that have a confirmed positive diagnosis, typically based on laboratory tests.",nc:QuantityType,,TRUE,,FALSE
4.1,,,add,42,4.2,em,EventPopulationPreliminaryPositiveDiagnosisQuantity,"A total number of people in a defined population that have a preliminary positive diagnosis, typically based on screening-based laboratory tests.",nc:QuantityType,,TRUE,,FALSE
