originalRelease,originalNamespace,originalPropertyName,changeCode,issue,release,namespace,propertyName,definition,dataType,substitutionGroupHead,elementOrAttribute,concreteOrAbstract,isAbstract
5.0,biom,CaptureUTCDateTime,edit,,5.1,biom,CaptureUTCDateTime,A UTC date and time for the capture of a biometric sample,nc:ZuluDateTimeType,,TRUE,,FALSE
5.0,biom,DNAAlleleCall1Text,edit,,5.1,biom,DNAAlleleCall1Text,"A description of the allele call, e.g. ""X"" or ""Y"" for an allele of locus Amelogenin, or the number of repeat units for an allele of locus CSF1PO.",nc:TextType,,TRUE,,FALSE
5.0,biom,DNAAlleleCall2Text,edit,,5.1,biom,DNAAlleleCall2Text,"A number of repeat units in the allele call, used only if the DNAAlleleOperatorCode is ""Range""",nc:TextType,,TRUE,,FALSE
5.0,biom,DNABatchID,edit,,5.1,biom,DNABatchID,An identifier of the DNA batch to which a locus belongs,nc:TextType,,TRUE,,FALSE
5.0,biom,DNACommentText,edit,,5.1,biom,DNACommentText,A kind of comment regarding DNA data,nc:TextType,,TRUE,,FALSE
5.0,biom,DNALocusGenotypeProbabilityValue,edit,,5.1,biom,DNALocusGenotypeProbabilityValue,A probability of an individual having these alleles at a single locus. The frequency of the individual alleles is based on population statistics data. This probability can be calculated by various formulas that consider if the locus is homozygous or heterozygous.,biom:LocusGenotypeProbabilityValueType,,TRUE,,FALSE
5.0,biom,PedigreeID,edit,,5.1,biom,PedigreeIdentification,An identification of a genetic pedigree,nc:IdentificationType,,TRUE,,FALSE
5.0,biom,ProcessUTCDate,edit,,5.1,biom,ProcessUTCDate,A UTC date and time for a biometric processing algorithm,nc:ZuluDateTimeType,,TRUE,,FALSE
5.0,cui,LDCAugmentationPoint,edit,,5.1,cui,DocumentMarkingLDCAugmentationPoint,An augmentation point for type cui:DocumentMarkingLDCType,,,TRUE,,TRUE
5.0,cui,LDCCode,edit,,5.1,cui,DocumentMarkingLDCCode,A Controlled Unclassified Information (CUI) Executive Agent-approved control that agencies may use to limit or specify CUI dissemination.,cui:DocumentMarkingLDCCodeType,,TRUE,,FALSE
5.0,cui,LDCMarking,edit,,5.1,cui,DocumentMarkingLDC,A document marking for a Controlled Unclassified Information (CUI) Executive Agent-approved control that agencies may use to limit or specify CUI dissemination.,cui:DocumentMarkingLDCType,,TRUE,,FALSE
5.0,em,PrimaryResidenceIndicator,edit,,5.1,em,BuildingPrimaryResidenceIndicator,True if this home is occupied at least 6 months per year and is this a primary residence; false if dwelling occupied as a vacation residence or simply vacant.,niem-xs:boolean,,TRUE,,FALSE
5.0,hs,VisitationDuration,edit,,5.1,hs,VisitationDuration,"A period of time allowed for a visitation with the format of PnYnMnDTnHnMnS, where nY is the number of years, nM is the number of months, nD is the number of days, nH is the number of hours, nM is the number of minutes, and nS is the number of seconds.",niem-xs:duration,,TRUE,,FALSE
