Release,NamespacePrefix,LocalTerm,Literal,Definition
5.1,aamva_d20,AAMVA,American Association of Motor Vehicle Administrators,
5.1,aamva_d20,ACD,AAMVA Code Dictionary,
5.1,aamva_d20,CDL,Commercial Driver's License,
5.1,aamva_d20,CFR,,Code of Federal Regulations
5.1,aamva_d20,CMV,Commercial Motor Vehicle,
5.1,aamva_d20,D20,,Standard for Traffic Records Systems
5.1,aamva_d20,HazMat,Hazardous Materials,
5.1,aamva_d20,HME,Hazardous Material Endorsement,
5.1,aamva_d20,TSA,Transportation Security Administration,
5.1,ag,ACRSI,Acreage and Crop Reporting Streamlining Initiative,
5.1,ag,AIP,Approved Insurance Provider,
5.1,ag,ANSI,American National Standards Institute,
5.1,ag,CLU,Common Land Unit,
5.1,ag,CM,Common Management,
5.1,ag,CVT,Commodity Validation Table,
5.1,ag,FIPS,Federal Information Processing Standards,
5.1,ag,FSA,Farm Service Agency,
5.1,ag,GML,Geography Markup Language,
5.1,ag,INCITS,InterNational Committee for Information Technology Standards,
5.1,ag,MICS,Mobile Implement Control System,
5.1,ag,NRCS,Natural Resources Conservation Service,
5.1,ag,RMA,Risk Management Agency,
5.1,ag,SCIMS,Service Center Information Management System,
5.1,ag,USDA,United States Department of Agriculture,
5.1,ag_codes,CLU,Common land unit,
5.1,ag_codes,CVT,Crop Validation Table,
5.1,ag_codes,FSA,Farm Service Agency,
5.1,ag_codes,NRCS,National Resources Conservation Service,
5.1,ag_codes,RMA,Risk Management Agency,
5.1,biom,3D,Three-dimensional,
5.1,biom,ADA,American Dental Association,
5.1,biom,ANSI,American National Standards Institute,
5.1,biom,autosomal,,Pertaining to a chromosome that is not a sex chromosome.
5.1,biom,AVI,Audio Video Interleaved,
5.1,biom,CBEFF,Common Biometric Exchange Formats Framework,
5.1,biom,Cheiloscopic,,Cheiloscopy is a forensic investigation technique that deals with identification of humans based on lips traces.
5.1,biom,CSP,Color spaces,
5.1,biom,Diarization,,The process of partitioning an input audio stream into homogeneous segments according to the speaker identity.
5.1,biom,DII,Diarization Indicator,
5.1,biom,DNA,Deoxyribonucleic acid,
5.1,biom,DNASTR,Deoxyribonucleic acid short tandem repeat,
5.1,biom,EFS,Extended Feature Set,
5.1,biom,EJI,Entire Joint Image,
5.1,biom,EJIs,Entire Joint Image,
5.1,biom,Electropherogram,,"A record or chart produced when electrophoresis is used in an analytical technique, primarily in the fields of molecular biology or biochemistry."
5.1,biom,FTF,free text field,
5.1,biom,FTO,feature - field occurrence,
5.1,biom,GENC,"Geopolitical Entities, Names, and Codes (GENC) Standard",
5.1,biom,HV,Hypervariable,
5.1,biom,IEC,International Electrotechnical Commission,
5.1,biom,INCITS,InterNational Committee for Information Technology Standards,
