Release,TypeNamespacePrefix,TypeName,QualifiedType,ContentStyle,SimpleStyle,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,Definition,SimpleTypeNamespacePrefix,SimpleTypeName,SimpleQualifiedType,ParentTypeNamespacePrefix,ParentTypeName,ParentQualifiedType
4.2,aamva_d20,AccidentSeverityCodeSimpleType,aamva_d20:AccidentSeverityCodeSimpleType,S,atomic,0,0,0,,,,A data type for severity levels of an accident.,xs,token,xs:token,,,
4.2,aamva_d20,AccidentSeverityCodeType,aamva_d20:AccidentSeverityCodeType,CSC,,0,0,0,,,,A data type for severity levels of an accident.,aamva_d20,AccidentSeverityCodeSimpleType,aamva_d20:AccidentSeverityCodeSimpleType,,,
4.2,aamva_d20,BrandCodeSimpleType,aamva_d20:BrandCodeSimpleType,S,atomic,0,0,0,,,,A data type for a brand applied to a vehicle title or odometer.,xs,token,xs:token,,,
4.2,aamva_d20,BrandCodeType,aamva_d20:BrandCodeType,CSC,,0,0,0,,,,A data type for a brand applied to a vehicle title or odometer.,aamva_d20,BrandCodeSimpleType,aamva_d20:BrandCodeSimpleType,,,
4.2,aamva_d20,BrandDamagePercentageCategoryCodeSimpleType,aamva_d20:BrandDamagePercentageCategoryCodeSimpleType,S,atomic,0,0,0,,,,A data type for the percentage of damage in a brand on a vehicle.,xs,token,xs:token,,,
4.2,aamva_d20,BrandDamagePercentageCategoryCodeType,aamva_d20:BrandDamagePercentageCategoryCodeType,CSC,,0,0,0,,,,A data type for the percentage of damage in a brand on a vehicle.,aamva_d20,BrandDamagePercentageCategoryCodeSimpleType,aamva_d20:BrandDamagePercentageCategoryCodeSimpleType,,,
4.2,aamva_d20,BranderCategoryCodeSimpleType,aamva_d20:BranderCategoryCodeSimpleType,S,atomic,0,0,0,,,,A data type for kinds of branders.,xs,token,xs:token,,,
4.2,aamva_d20,BranderCategoryCodeType,aamva_d20:BranderCategoryCodeType,CSC,,0,0,0,,,,A data type for kinds of branders.,aamva_d20,BranderCategoryCodeSimpleType,aamva_d20:BranderCategoryCodeSimpleType,,,
4.2,aamva_d20,BrandVehicleDispositionCodeSimpleType,aamva_d20:BrandVehicleDispositionCodeSimpleType,S,atomic,0,0,0,,,,A data type for vehicle dispositions.,xs,token,xs:token,,,
4.2,aamva_d20,BrandVehicleDispositionCodeType,aamva_d20:BrandVehicleDispositionCodeType,CSC,,0,0,0,,,,A data type for vehicle dispositions.,aamva_d20,BrandVehicleDispositionCodeSimpleType,aamva_d20:BrandVehicleDispositionCodeSimpleType,,,
4.2,aamva_d20,CMVCodeSimpleType,aamva_d20:CMVCodeSimpleType,S,atomic,0,0,0,,,,A data type for whether a person was operating a commercial motor vehicle in an incident.,xs,token,xs:token,,,
4.2,aamva_d20,CMVCodeType,aamva_d20:CMVCodeType,CSC,,0,0,0,,,,A data type for whether a person was operating a commercial motor vehicle in an incident.,aamva_d20,CMVCodeSimpleType,aamva_d20:CMVCodeSimpleType,,,
4.2,aamva_d20,CountryCodeSimpleType,aamva_d20:CountryCodeSimpleType,S,atomic,0,0,0,,,,A data type for country codes specified by DHS as part of the DHS Western Hemisphere Travel Initiative.,xs,token,xs:token,,,
4.2,aamva_d20,CountryCodeType,aamva_d20:CountryCodeType,CSC,atomic,0,0,0,,,,A data type for country codes specified by DHS as part of the DHS Western Hemisphere Travel Initiative.,aamva_d20,CountryCodeSimpleType,aamva_d20:CountryCodeSimpleType,,,
4.2,aamva_d20,CourtCategoryCodeSimpleType,aamva_d20:CourtCategoryCodeSimpleType,S,atomic,0,0,0,,,,A data type for kinds of courts.,xs,token,xs:token,,,
4.2,aamva_d20,CourtCategoryCodeType,aamva_d20:CourtCategoryCodeType,CSC,,0,0,0,,,,A data type for kinds of courts.,aamva_d20,CourtCategoryCodeSimpleType,aamva_d20:CourtCategoryCodeSimpleType,,,
