originalRelease,originalNamespace,originalTypeName,originalProperty,changeCode,issue,release,namespace,typeName,property,minOccurs,maxOccurs
2.1,cbrn,CoefficientsType,cbrn:subEquationNumeric,modified,,3.0,,,,1,
2.1,cbrn,SystemEventType,cbrn:SystemEventDateTime,modified,,3.0,,,,1,1
2.1,em,AlarmEventLocationAugmentationType,em:LocationInformationText,modified,,3.0,,LocationAugmentationType,,,
2.1,em,AlarmLocationAugmentationType,em:AlarmLocationDirectionText,modified,,3.0,,LocationAugmentationType,nc:LocationDirectionsText,,
2.1,em,AlertAffectedLocationAugmentationType,nc:AreaPolygonGeographicCoordinate,modified,,3.0,,AlertAffectedLocationType,nc:PolygonCoordinate,,
2.1,em,AlertAffectedLocationAugmentationType,em:Ceiling,modified,,3.0,,AlertAffectedLocationType,,,
2.1,em,AlertIncidentAssociationType,em:Alert,modified,,3.0,,,,,
2.1,em,AlertIncidentAssociationType,nc:Incident,modified,,3.0,,,,,
2.1,em,NotificationIncidentAssociationType,em:Notification,modified,,3.0,,,,,
2.1,em,NotificationIncidentAssociationType,nc:Incident,modified,,3.0,,,,,
2.1,em,NotificationTargetLocationAugmentationType,nc:AreaPolygonGeographicCoordinate,modified,,3.0,,NotificationTargetLocationType,nc:PolygonCoordinate,,
2.1,em,ResourceType,nc:RoleOfPerson,modified,,3.0,,,,,
2.1,em,ResourceType,nc:RoleOfItem,modified,,3.0,,,,,
2.1,geo,CurveType,gml:Curve,modified,,3.0,,,,1,1
2.1,geo,LineStringType,gml:LineString,modified,,3.0,,,,1,1
2.1,geo,MultiCurveType,gml:MultiCurve,modified,,3.0,,,,1,1
2.1,geo,MultiGeometryType,gml:MultiGeometry,modified,,3.0,,,,1,1
2.1,geo,MultiPointType,gml:MultiPoint,modified,,3.0,,,,1,1
2.1,geo,MultiSurfaceType,gml:MultiSurface,modified,,3.0,,,,1,1
2.1,geo,PointType,gml:Point,modified,,3.0,,,,1,1
2.1,geo,PolygonType,gml:Polygon,modified,,3.0,,,,1,1
2.1,geo,SurfaceType,gml:Surface,modified,,3.0,,,,1,1
2.1,im,AlienAlertType,im:Alien,modified,,3.0,,,im:AlienRole,,
2.1,im,AlienExchangeVisitorAdmissionType,im:Dependent,modified,,3.0,,,im:SEVISPersonDependentAssociation,,
2.1,im,AlienStudentAdmissionType,im:Dependent,modified,,3.0,,,im:SEVISPersonDependentAssociation,,
2.1,im,AlienStudentAdmissionType,im:DisciplinaryAction,modified,,3.0,,,im:AlienStudentDisciplinaryAction,,
2.1,im,AlienType,im:FileControlOfficeText,modified,,3.0,,FileType,,,
2.1,im,ExchangeVisitorProgramType,im:ProgramPurposeText,modified,,3.0,,,nc:ProgramPurposeText,,
2.1,im,ICEEmployeeType,nc:RoleOfPerson,modified,,3.0,,,,,
2.1,im,ICEOfficerType,nc:RoleOfPerson,modified,,3.0,,,,,
2.1,im,PersonCountryAssociationType,nc:Person,modified,,3.0,,,im:PersonCountryRole,,
2.1,im,PersonCountryAssociationType,nc:LocationCountry,modified,,3.0,,,im:Country,,
2.1,intel,IdentityAssociationType,intel:AuthenticatedIdentity,modified,,3.0,,IdentityAssociationAugmentationType,,,
2.1,intel,IdentityAssociationType,intel:PrimaryIdentity,modified,,3.0,,IdentityAssociationAugmentationType,,,
2.1,intel,PotentialIdentityMatchAssociationType,intel:Identity,modified,,3.0,,,nc:Identity,,
2.1,it,AdditionalDocumentAugmentationType,it:AdditionalDocumentName,modified,,3.0,,AdditionalDocumentType,,,
2.1,it,AdditionalDocumentAugmentationType,it:AdditionalDocumentRefNumber,modified,,3.0,,AdditionalDocumentType,it:AdditionalDocumentRefNumberID,,
2.1,it,AdditionalDocumentAugmentationType,nc:Address,modified,,3.0,,AdditionalDocumentType,,,
2.1,it,AdditionalInformationAugmentationType,it:AdditionalStatementDescriptionText,modified,,3.0,,AdditionalInformationType,,,
2.1,it,AdditionalInformationAugmentationType,it:AdditionalStatementCategoryCodeText,modified,,3.0,,AdditionalInformationType,,,
2.1,it,AdditionalInformationAugmentationType,it:InspectionRequestDate,modified,,3.0,,AdditionalInformationType,,,
2.1,it,AdditionalInformationAugmentationType,it:CertificateContentText,modified,,3.0,,AdditionalInformationType,,,
2.1,it,AdditionalInformationAugmentationType,scr:CountrySubdivisionName,modified,,3.0,,AdditionalInformationType,,,
2.1,it,AdditionalInformationAugmentationType,scr:CountrySubdivisionCategoryCode,modified,,3.0,,AdditionalInformationType,scr:CountrySubdivisionCategory,,
2.1,it,AgentType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,BrokerType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,BuyerType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,CarrierType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,ConsigneeType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,ConsignmentContainerAssociationType,it:Consignment,modified,,3.0,,,,,
2.1,it,ConsignmentItemType,it:ConsignmentItemShapeCode,modified,,3.0,,,it:ConsignmentItemShape,,
2.1,it,ConsignmentItemType,it:ExaminationPlaceCode,modified,,3.0,,,it:ExaminationPlace,,
2.1,it,ConsignorType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,ConsolidatorType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,ConsortiumCarrierType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,ContainerTerminalOperatorType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,CurrencyExchangeType,it:CurrencyIdentifierCode,modified,,3.0,,,it:CurrencyIdentifierAbstract,,
2.1,it,DeconsolidatorType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,DocumentAugmentationType,it:DocumentIssueDate,modified,,3.0,,,nc:DocumentIssueDate,,
2.1,it,EquipmentType,nc:RoleOfItem,modified,,3.0,,,,,
2.1,it,ExporterType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,GoodsItemType,it:ExaminationPlaceCode,modified,,3.0,,,it:ExaminationPlace,,
2.1,it,GoodsShipmentType,it:GoodsCountryExportCode,modified,,3.0,,,it:GoodsCountryExport,,
2.1,it,ImporterType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,IntermediateCarrierType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,IntermediateConsigneeType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,ItineraryType,it:ItineraryLocationKindCode,modified,,3.0,,,it:ItineraryLocationKind,,
2.1,it,LocationFunctionType,it:LocationFunctionCode,modified,,3.0,,,it:LocationFunction,,
2.1,it,ManufacturerType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,MasterType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,NonVesselOperatingCarrierType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,NotifyPartyType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,PackageType,it:PackageItemCategoryCode,modified,,3.0,,,it:PackageItemCategory,,
2.1,it,PartyContactAssociationType,it:Party,modified,,3.0,,,,,
2.1,it,PartyContactAssociationType,nc:ContactInformation,modified,,3.0,,,,,
2.1,it,PartyIDCategoryType,it:RoleOfPartyCategoryCode,modified,,3.0,,,it:RoleOfPartyCategory,,
2.1,it,PaymentAugmentationType,it:DutyTaxPaymentMethodCode,modified,,3.0,,ObligationAugmentationType,it:DutyTaxPaymentMethod,,
2.1,it,ProcessingEstablishmentType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,RoleOfOrganizationCategoryType,it:RoleOfOrganizationCategoryCode,modified,,3.0,,,it:RoleOfOrganizationCategory,,
2.1,it,SealType,it:TradePartyCode,modified,,3.0,,,it:TradeParty,,
2.1,it,SealType,it:SealIntactStatusCode,modified,,3.0,,,it:SealIntactStatus,,
2.1,it,SealType,it:SealVerificationStatusCode,modified,,3.0,,,it:SealVerificationStatus,,
2.1,it,SellerType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,ShippingContainerType,it:ShippingContainerISO6346Code,modified,,3.0,,,it:ShippingContainerISO6346,,
2.1,it,ShippingContainerType,it:ShippingContainerKindCode,modified,,3.0,,,it:ShippingContainerKind,,
2.1,it,StevedoreType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,StuffingEstablishmentType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,TradePartyType,nc:LocationStateFIPS10-4InternationalCode,modified,,3.0,,,nc:LocationState,,
2.1,it,TradePartyType,nc:LocationCountryISO3166Alpha3Code,modified,,3.0,,,nc:LocationCountry,,
2.1,it,TransportActivityLocationType,it:TransportActivityLocation,modified,,3.0,,,,,
2.1,it,TransportActivityLocationType,it:LocationActivityCode,modified,,3.0,,,it:LocationActivity,,
2.1,it,TransportActivityLocationType,nc:LocationStateFIPS10-4InternationalCode,modified,,3.0,,,nc:LocationState,,
2.1,it,TransportActivityLocationType,nc:LocationCountryISO3166Alpha3Code,modified,,3.0,,,nc:LocationCountry,,
2.1,it,TransportMeansOperatorType,it:Party,modified,,3.0,,,,,
2.1,it,TransportMeansOwnerType,it:Party,modified,,3.0,,,,,
2.1,it,TransportMeansType,it:TransportMeansModeOfTransportationCode,modified,,3.0,,,it:TransportMeansModeOfTransportation,,
2.1,it,UNDGContactType,it:RoleOfParty,modified,,3.0,,,,,
2.1,it,WCODocumentCategoryType,it:WCODocumentCategoryCode,modified,,3.0,,,it:WCODocumentCategory,,
2.1,it,WCODocumentFunctionCategoryType,it:WCODocumentFunctionCategoryCode,modified,,3.0,,,it:WCODocumentFunctionCategory,,
2.1,j,ActivityArrestAssociationType,nc:Activity,modified,,3.0,,,,,
2.1,j,ActivityArrestAssociationType,j:Arrest,modified,,3.0,,,,,
2.1,j,ActivityAugmentationType,j:ActivityOfficial,modified,,3.0,,,,,
2.1,j,ActivityCaseAssociationType,nc:Activity,modified,,3.0,,,,,
2.1,j,ActivityCaseAssociationType,nc:Case,modified,,3.0,,,,,
2.1,j,ActivityChargeAssociationType,nc:Activity,modified,,3.0,,,,,
2.1,j,ActivityChargeAssociationType,j:Charge,modified,,3.0,,,,,
2.1,j,ActivityCommunityServiceAssociationType,nc:Activity,modified,,3.0,,,,,
2.1,j,ActivityCommunityServiceAssociationType,j:CommunityService,modified,,3.0,,,,,
2.1,j,ActivityContactInformationAssociationType,nc:Activity,modified,,3.0,,,,,
2.1,j,ActivityContactInformationAssociationType,nc:ContactInformation,modified,,3.0,,,,,
