originalRelease,originalNamespace,originalTypeName,changeCode,issue,release,namespace,typeName,definition,parentType,baseType,contentStyle,simpleStyle,isAssociation,isAugmentation,isAdapter,isMetadata
5.0,biom,DNACellularCategoryCodeSimpleType,edit,,5.1,biom,DNACellularCategoryCodeSimpleType,A data type for a kind of origination cell from where a DNA sample was collected,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.0,biom,DNASampleOriginCodeSimpleType,edit,,5.1,biom,DNASampleOriginCodeSimpleType,A data type for a DNA origin code,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.0,biom,DNASampleOriginCodeType,edit,,5.1,biom,DNASampleOriginCodeType,A data type for a DNA origin code,,biom:DNASampleOriginCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
5.0,biom,DNATypingTechnologyCategoryCodeSimpleType,edit,,5.1,biom,DNATypingTechnologyCategoryCodeSimpleType,A data type for a kind of DNA typing technology,,xs:integer,S,atomic,,FALSE,FALSE,FALSE
5.0,biom,LocusGenotypeProbabilityValueType,edit,,5.1,biom,LocusGenotypeProbabilityValueType,A data type for an expression of the probability of an individual having these alleles at a single locus. This probability can be calculated by various formulas that consider if the locus is homozygous or heterozygous. The frequency of the individual alleles is based on population statistics data.,,biom:LocusGenotypeProbabilityValueSimpleType,CSC,,,FALSE,FALSE,FALSE
5.0,cui,LDCCodeSimpleType,edit,,5.1,cui,DocumentMarkingLDCCodeSimpleType,A data type for a Controlled Unclassified Information (CUI) Executive Agent-approved control that agencies may use to limit or specify CUI dissemination.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.0,cui,LDCCodeType,edit,,5.1,cui,DocumentMarkingLDCCodeType,A data type for a Controlled Unclassified Information (CUI) Executive Agent-approved control that agencies may use to limit or specify CUI dissemination.,,cui:DocumentMarkingLDCCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
5.0,cui,LDCType,edit,,5.1,cui,DocumentMarkingLDCType,A data type for any CUI Executive Agent-approved control that agencies may use to limit or specify CUI dissemination.,,,CCC,,,FALSE,FALSE,FALSE
5.0,ncic,VMOCodeSimpleType,edit,,5.1,ncic,VMOCodeSimpleType,"A data type for 2.2: Vehicle Model (VMO) for Automobiles, Light-Duty Vans, Light-Duty Trucks, and Parts",,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.0,ncic,VMOCodeType,edit,,5.1,ncic,VMOCodeType,"A data type for 2.2: Vehicle Model (VMO) for Automobiles, Light-Duty Vans, Light-Duty Trucks, and Parts",,ncic:VMOCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNAAlleleOperatorCodeSimpleType,A data type for a description of the operation for the allele call(s),,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNAAlleleOperatorCodeType,A data type for a description of the operation for the allele call(s),,biom:DNAAlleleOperatorCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNAAlleleType,A data type for a description of a DNA fragment data that occupies a given locus (position) on a chromosome and detected in a polymorphic system.  An individual's genotype for that gene is the set of alleles it happens to possess.,,,CCC,,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNAAnalysisProcessType,"A data type for a description of the DNA analysis process used (e.g. DNA genotype analysis software, DNA mixture deconvolution software, etc.) to produce a DNA profile",,,CCC,,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNAAnalysisType,"A data type for a description of the DNA analysis data or ""raw"" data",,,CCC,,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNACartridgeType,"A data type for a description of the DNA cartridge or chip used, usually, on a Rapid DNA instrument",,,CCC,,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNACategoryCodeSimpleType,A data type for a category of DNA data,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNACategoryCodeType,A data type for a category of DNA data,,biom:DNACategoryCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNADonorVitalityCodeSimpleType,A data type for a DNA donor's vitality status code,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNADonorVitalityCodeType,A data type for a DNA donor's vitality status code,,biom:DNADonorVitalityCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNAEncodingType,A data type for an encoding or representation of the DNA data from a person (can be a composite profile based on multiple DNA samples) or a DNA sample (can be a single-source sample or a mixture sample from a crime scene).,,,CCC,,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNAFragmentSequenceAnalysisCategoryCodeSimpleType,A data type for a category of fragment sequence analysis (FSA),,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.0,,,add,,5.1,biom,DNAFragmentSequenceAnalysisCategoryCodeType,A data type for a category of fragment sequence analysis (FSA),,biom:DNAFragmentSequenceAnalysisCategoryCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
