originalRelease,originalNamespace,originalTypeName,changeCode,issue,release,namespace,typeName,definition,parentType,baseType,contentStyle,simpleStyle,isAssociation,isAugmentation,isAdapter,isMetadata
3.1,hs,StateInputDataType,modified,,3.2,hs,StateInputType,A data type for a set of data for the State Input Data report of the Public Assistance Reporting Information System (PARIS).,,,CCC,,FALSE,FALSE,FALSE,
3.1,j,DisciplinaryHearingType,modified,,3.2,j,DisciplinaryHearingType,"A data type for a fact finding hearing to determine whether a prohibited act was committed and, if so, the appropriate sanctions to be imposed.",j:HearingType,,CCC,,FALSE,FALSE,FALSE,
3.1,j,LocationRoadwayType,modified,,3.2,st,LocationRoadwayType,A data type for the part of the roadway where a traffic accident occurred.,,,CCC,,FALSE,FALSE,FALSE,
3.1,j,ParoleHearingType,modified,,3.2,j,ParoleHearingType,"A data type for a hearing to determine if a person may be released from incarceration before the full sentence(s) has been served and the conditions of such release, if approved.",j:HearingType,,CCC,,FALSE,FALSE,FALSE,
3.1,j,RoadwayAnnualAverageDailyTrafficType,modified,,3.2,st,RoadwayAnnualAverageDailyTrafficType,"A data type for the average number of motor vehicles passing a point on a trafficway in a day, for all days of the year, during a specified calendar year.",,,CCC,,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayAccessControlCodeSimpleType,modified,,3.2,st,RoadwayAccessControlCodeSimpleType,"A data type for the degree that access to abutting land is fully, partially or not controlled by a public authority.",,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayAccessControlCodeType,modified,,3.2,st,RoadwayAccessControlCodeType,"A data type for the degree that access to abutting land is fully, partially or not controlled by a public authority.",,st:RoadwayAccessControlCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayFunctionalClassCodeSimpleType,modified,,3.2,st,RoadwayFunctionalClassCodeSimpleType,A data type for the character of service or function of streets or highways.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayFunctionalClassCodeType,modified,,3.2,st,RoadwayFunctionalClassCodeType,A data type for the character of service or function of streets or highways.,,st:RoadwayFunctionalClassCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayIntersectionTrafficControlCategoryCodeSimpleType,modified,,3.2,st,RoadwayIntersectionTrafficControlCategoryCodeSimpleType,A data type for a kind of traffic control device at intersection where crash occurred.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayIntersectionTrafficControlCategoryCodeType,modified,,3.2,st,RoadwayIntersectionTrafficControlCategoryCodeType,A data type for a kind of traffic control device at intersection where crash occurred.,,st:RoadwayIntersectionTrafficControlCategoryCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayLightingCodeSimpleType,modified,,3.2,st,RoadwayLightingCodeSimpleType,A data type for a kind of roadway illumination.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayLightingCodeType,modified,,3.2,st,RoadwayLightingCodeType,A data type for a kind of roadway illumination.,,st:RoadwayLightingCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayNumberLanesCodeSimpleType,modified,,3.2,st,RoadwayNumberLanesCodeSimpleType,"A data type for number of through lanes on the side-road approaches at intersection including all lanes with through movement (through and left-turn, or through and rightturn) but not exclusive turn lanes.",,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayNumberLanesCodeType,modified,,3.2,st,RoadwayNumberLanesCodeType,"A data type for number of through lanes on the side-road approaches at intersection including all lanes with through movement (through and left-turn, or through and rightturn) but not exclusive turn lanes.",,st:RoadwayNumberLanesCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayPavementLongitudinalMarkingCenterlinePresenceCodeSimpleType,modified,,3.2,st,RoadwayPavementLongitudinalMarkingCenterlinePresenceCodeSimpleType,A data type for Centerline Presence/Type on the roadway surface to guide or control the path followed by drivers.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayPavementLongitudinalMarkingCenterlinePresenceCodeType,modified,,3.2,st,RoadwayPavementLongitudinalMarkingCenterlinePresenceCodeType,A data type for Centerline Presence/Type on the roadway surface to guide or control the path followed by drivers.,,st:RoadwayPavementLongitudinalMarkingCenterlinePresenceCodeSimpleType,CSC,<deleted>,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayPavementLongitudinalMarkingEdgeLinePresenceCodeSimpleType,modified,,3.2,st,RoadwayPavementLongitudinalMarkingEdgeLinePresenceCodeSimpleType,A data type for Edgeline Presence/Type on the roadway surface to guide or control the path followed by drivers.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayPavementLongitudinalMarkingEdgeLinePresenceCodeType,modified,,3.2,st,RoadwayPavementLongitudinalMarkingEdgeLinePresenceCodeType,A data type for Edgeline Presence/Type on the roadway surface to guide or control the path followed by drivers.,,st:RoadwayPavementLongitudinalMarkingEdgeLinePresenceCodeSimpleType,CSC,,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayPavementLongitudinalMarkingLaneLineMarkingsCodeSimpleType,modified,,3.2,st,RoadwayPavementLongitudinalMarkingLaneLineMarkingsCodeSimpleType,A data Type for Lane Line Markings used on the roadway surface to guide or control the path followed by drivers.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,mmucc,RoadwayPavementLongitudinalMarkingLaneLineMarkingsCodeType,modified,,3.2,st,RoadwayPavementLongitudinalMarkingLaneLineMarkingsCodeType,A data Type for Lane Line Markings used on the roadway surface to guide or control the path followed by drivers.,,st:RoadwayPavementLongitudinalMarkingLaneLineMarkingsCodeSimpleType,CSC,<deleted>,FALSE,FALSE,FALSE,
3.1,mmucc,RoadWayPresenceBicycleFacilityCodeSimpleType,modified,,3.2,st,RoadWayPresenceBicycleFacilityCodeSimpleType,A data type for indication whether a facility is designated for the exclusive use of bicycles or are to be shared with other transportation modes.,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,mmucc,RoadWayPresenceBicycleFacilityCodeType,modified,,3.2,st,RoadWayPresenceBicycleFacilityCodeType,A data type for indication whether a facility is designated for the exclusive use of bicycles or are to be shared with other transportation modes.,,st:RoadWayPresenceBicycleFacilityCodeSimpleType,CSC,<deleted>,FALSE,FALSE,FALSE,
3.1,mmucc,RoadWayPresenceBicycleSignedBicycleRouteCodeSimpleType,modified,,3.2,st,RoadWayPresenceBicycleSignedBicycleRouteCodeSimpleType,"A data type for any road, path, or way which is specifically designated as being open to bicycle travel.",,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,mmucc,RoadWayPresenceBicycleSignedBicycleRouteCodeType,modified,,3.2,st,RoadWayPresenceBicycleSignedBicycleRouteCodeType,"A data type for any road, path, or way which is specifically designated as being open to bicycle travel.",,st:RoadWayPresenceBicycleSignedBicycleRouteCodeSimpleType,CSC,<deleted>,FALSE,FALSE,FALSE,
3.1,ncic,VMOCodeSimpleType,modified,,3.2,ncic,VMOCodeSimpleType,A data type for Vehicle Model.,,xs:string,S,atomic,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,AcquisitionSourceCodeSimpleType,A data type for a source acquisition code,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,AcquisitionSourceCodeType,A data type for a source acquisition code,,biom:AcquisitionSourceCodeSimpleType,CSC,atomic,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,AcquisitionSourceType,A data type for a source of an item,,,CCC,,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,ANSIRecordCategoryCodeSimpleType,A data type for a kind of record based on ANSI/NIST-ITL 1-2013,,xs:integer,S,atomic,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,ANSIRecordCategoryCodeType,A data type for a kind of record,,biom:ANSIRecordCategoryCodeSimpleType,CSC,atomic,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,AssociatedContextType,A data type for a reference to an associated context,,,CCC,,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,AssuranceLogEntryType,A data type for an information assurance log entry,,,CCC,,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,AssuranceLogEventCodeSimpleType,A data type for an information assurance log event code,,xs:token,S,atomic,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,AssuranceLogEventCodeType,A data type for an information assurance log event code,,biom:AssuranceLogEventCodeSimpleType,CSC,atomic,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,AudioCaptureDeviceCodeSimpleType,A data type for a description of an audio segment channel capture device.,,xs:integer,S,atomic,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,AudioCaptureDeviceCodeType,A data type for a description of an audio segment channel capture device.,,biom:AudioCaptureDeviceCodeSimpleType,CSC,atomic,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,AudioInformationType,"A data type for a description of specific time segments within a voice recording, and their processing.",,,CCC,,FALSE,FALSE,FALSE,
3.1,,,new,,3.2,biom,AudioObjectDescriptorCodeSimpleType,A data type for an enumeration of codes describing Audio Objects,,xs:token,S,atomic,FALSE,FALSE,FALSE,
